"Time","GET /api/v1/crypto/trending","GET /api/v1/market/indices","GET /api/v1/portfolios","GET /actuator/health","GET /actuator/prometheus","GET /api/v1/auth/perf/stats","GET /api/v1/auth/perf/tokens","GET /api/v1/crypto/trending","GET /api/v1/portfolios","POST /api/v1/market/prices","POST /api/v1/market/prices","POST /api/v1/market/prices"
2025-11-14 13:35:15,NaN,NaN,NaN,NaN,23.6 ms,NaN,NaN,,,NaN,,
2025-11-14 13:35:30,NaN,NaN,NaN,9.38 ms,24.2 ms,NaN,NaN,,,NaN,,
2025-11-14 13:35:45,NaN,NaN,NaN,9.38 ms,23.4 ms,NaN,NaN,50.3 ms,18.6 ms,NaN,,321 ms
2025-11-14 13:36:00,NaN,NaN,NaN,9.38 ms,22.3 ms,NaN,NaN,47.7 ms,17.1 ms,NaN,,294 ms
2025-11-14 13:36:15,NaN,NaN,NaN,NaN,21.0 ms,NaN,NaN,45.0 ms,16.0 ms,NaN,,292 ms
2025-11-14 13:36:30,NaN,NaN,NaN,NaN,20.8 ms,NaN,NaN,43.8 ms,15.0 ms,NaN,,279 ms
2025-11-14 13:36:45,NaN,NaN,NaN,NaN,21.2 ms,NaN,NaN,41.6 ms,13.7 ms,NaN,,279 ms
2025-11-14 13:37:00,NaN,NaN,NaN,NaN,21.1 ms,NaN,NaN,39.7 ms,13.3 ms,NaN,,291 ms
2025-11-14 13:37:15,NaN,NaN,NaN,NaN,20.3 ms,NaN,NaN,38.0 ms,12.8 ms,NaN,,335 ms
2025-11-14 13:37:30,NaN,NaN,NaN,NaN,20.4 ms,NaN,NaN,36.4 ms,12.6 ms,NaN,,389 ms
2025-11-14 13:37:45,NaN,NaN,NaN,NaN,21.3 ms,NaN,NaN,33.6 ms,12.5 ms,NaN,,439 ms
2025-11-14 13:38:00,NaN,NaN,NaN,NaN,21.3 ms,NaN,NaN,31.6 ms,12.3 ms,NaN,,484 ms
2025-11-14 13:38:15,NaN,NaN,NaN,NaN,20.2 ms,NaN,NaN,30.1 ms,12.9 ms,NaN,,510 ms
2025-11-14 13:38:30,NaN,NaN,NaN,NaN,19.5 ms,NaN,NaN,30.4 ms,12.8 ms,NaN,,543 ms
2025-11-14 13:38:45,NaN,NaN,NaN,NaN,20.4 ms,NaN,NaN,30.2 ms,13.3 ms,NaN,,559 ms
2025-11-14 13:39:00,NaN,NaN,NaN,NaN,20.9 ms,NaN,NaN,28.8 ms,12.8 ms,NaN,,581 ms
2025-11-14 13:39:15,NaN,NaN,NaN,NaN,21.4 ms,NaN,NaN,27.3 ms,13.1 ms,NaN,,595 ms
2025-11-14 13:39:30,NaN,NaN,NaN,NaN,20.6 ms,NaN,NaN,25.7 ms,13.1 ms,NaN,,617 ms
2025-11-14 13:39:45,NaN,NaN,NaN,NaN,19.7 ms,NaN,NaN,25.2 ms,13.6 ms,NaN,,628 ms
2025-11-14 13:40:00,NaN,NaN,NaN,NaN,19.9 ms,NaN,NaN,24.9 ms,13.7 ms,NaN,,642 ms
2025-11-14 13:40:15,NaN,NaN,NaN,NaN,20.1 ms,NaN,NaN,24.6 ms,13.9 ms,NaN,,653 ms
2025-11-14 13:40:30,NaN,NaN,NaN,NaN,24.8 ms,NaN,NaN,24.7 ms,14.5 ms,NaN,,672 ms
2025-11-14 13:40:45,NaN,NaN,NaN,NaN,24.6 ms,NaN,NaN,24.3 ms,15.0 ms,NaN,,676 ms
2025-11-14 13:41:00,NaN,NaN,NaN,NaN,24.8 ms,NaN,NaN,24.5 ms,15.3 ms,NaN,,680 ms
2025-11-14 13:41:15,NaN,NaN,NaN,NaN,20.2 ms,NaN,NaN,24.6 ms,15.6 ms,NaN,,682 ms
2025-11-14 13:41:30,NaN,NaN,NaN,NaN,20.7 ms,NaN,NaN,25.1 ms,16.1 ms,NaN,,693 ms
2025-11-14 13:41:45,NaN,NaN,NaN,NaN,24.2 ms,NaN,NaN,26.1 ms,16.9 ms,NaN,,692 ms
2025-11-14 13:42:00,NaN,NaN,NaN,NaN,25.0 ms,NaN,NaN,27.5 ms,19.1 ms,NaN,,700 ms
2025-11-14 13:42:15,NaN,NaN,NaN,NaN,23.4 ms,NaN,NaN,29.1 ms,19.5 ms,NaN,408 ms,699 ms
2025-11-14 13:42:30,NaN,NaN,NaN,NaN,21.4 ms,NaN,NaN,29.1 ms,20.0 ms,NaN,391 ms,717 ms
2025-11-14 13:42:45,NaN,NaN,NaN,NaN,21.2 ms,NaN,NaN,29.3 ms,19.4 ms,NaN,391 ms,699 ms
2025-11-14 13:43:00,NaN,NaN,NaN,NaN,21.9 ms,NaN,NaN,28.0 ms,19.9 ms,NaN,NaN,691 ms
