"Time","CPU %"
2025-11-14 13:35:15,0.513%
2025-11-14 13:35:30,1.51%
2025-11-14 13:35:45,2.31%
2025-11-14 13:36:00,1.92%
2025-11-14 13:36:15,2.12%
2025-11-14 13:36:30,1.26%
2025-11-14 13:36:45,3.07%
2025-11-14 13:37:00,2.94%
2025-11-14 13:37:15,2.57%
2025-11-14 13:37:30,4.32%
2025-11-14 13:37:45,2.05%
2025-11-14 13:38:00,2.69%
2025-11-14 13:38:15,2.34%
2025-11-14 13:38:30,4.45%
2025-11-14 13:38:45,6.27%
2025-11-14 13:39:00,5.71%
2025-11-14 13:39:15,4.72%
2025-11-14 13:39:30,4.86%
2025-11-14 13:39:45,4.62%
2025-11-14 13:40:00,5.48%
2025-11-14 13:40:15,6.19%
2025-11-14 13:40:30,5.36%
2025-11-14 13:40:45,4.21%
2025-11-14 13:41:00,3.07%
2025-11-14 13:41:15,6.16%
2025-11-14 13:41:30,9.18%
2025-11-14 13:41:45,6.68%
2025-11-14 13:42:00,9.04%
2025-11-14 13:42:15,6.17%
2025-11-14 13:42:30,5.64%
2025-11-14 13:42:45,7.52%
2025-11-14 13:43:00,6.66%
2025-11-14 13:43:15,6.69%
2025-11-14 13:43:30,6.48%
2025-11-14 13:43:45,7.57%
2025-11-14 13:44:00,9.13%
2025-11-14 13:44:15,6.25%
2025-11-14 13:44:30,5.74%
2025-11-14 13:44:45,8.70%
2025-11-14 13:45:00,4.71%
2025-11-14 13:45:15,11.8%
2025-11-14 13:45:30,0.510%
2025-11-14 13:45:45,0.384%
