"Time","heap - G1 Eden Space","heap - G1 Old Gen","heap - G1 Survivor Space","nonheap - CodeCache","nonheap - Compressed Class Space","nonheap - Metaspace"
2025-11-14 13:35:15,110 MiB,56.2 MiB,1.77 MiB,13.9 MiB,14.8 MiB,101 MiB
2025-11-14 13:35:30,56 MiB,56.4 MiB,3.05 MiB,18.3 MiB,15.5 MiB,107 MiB
2025-11-14 13:35:45,28 MiB,56.4 MiB,7.00 MiB,20.6 MiB,15.5 MiB,107 MiB
2025-11-14 13:36:00,98 MiB,56.8 MiB,6.71 MiB,21.2 MiB,15.5 MiB,107 MiB
2025-11-14 13:36:15,28 MiB,57.2 MiB,7.58 MiB,22.0 MiB,15.6 MiB,107 MiB
2025-11-14 13:36:30,22 MiB,57.1 MiB,7.14 MiB,21.7 MiB,15.6 MiB,107 MiB
2025-11-14 13:36:45,2 MiB,57.3 MiB,7.26 MiB,22.1 MiB,15.6 MiB,107 MiB
2025-11-14 13:37:00,50 MiB,62.1 MiB,2 MiB,20.7 MiB,15.6 MiB,107 MiB
2025-11-14 13:37:15,56 MiB,62.7 MiB,1.64 MiB,20.6 MiB,15.6 MiB,107 MiB
2025-11-14 13:37:30,44 MiB,63.0 MiB,2.35 MiB,20.0 MiB,15.6 MiB,107 MiB
2025-11-14 13:37:45,16 MiB,62.7 MiB,2.58 MiB,20.3 MiB,15.6 MiB,107 MiB
2025-11-14 13:38:00,96 MiB,63.1 MiB,2.63 MiB,20.0 MiB,15.6 MiB,107 MiB
2025-11-14 13:38:15,32 MiB,63.4 MiB,2.38 MiB,20.0 MiB,15.6 MiB,107 MiB
2025-11-14 13:38:30,72 MiB,63.9 MiB,3.44 MiB,20.1 MiB,15.6 MiB,107 MiB
2025-11-14 13:38:45,96 MiB,65.0 MiB,3.96 MiB,20.1 MiB,15.6 MiB,107 MiB
2025-11-14 13:39:00,20 MiB,66.0 MiB,3.99 MiB,20.1 MiB,15.6 MiB,107 MiB
2025-11-14 13:39:15,22 MiB,67.2 MiB,3.73 MiB,20.1 MiB,15.6 MiB,107 MiB
2025-11-14 13:39:30,54 MiB,68.0 MiB,3.76 MiB,20.8 MiB,15.6 MiB,107 MiB
2025-11-14 13:39:45,34 MiB,69.5 MiB,3.60 MiB,21.4 MiB,15.6 MiB,107 MiB
2025-11-14 13:40:00,22 MiB,70.6 MiB,4.50 MiB,20.2 MiB,15.6 MiB,107 MiB
2025-11-14 13:40:15,74 MiB,71.6 MiB,5.35 MiB,20.2 MiB,15.6 MiB,107 MiB
2025-11-14 13:40:30,98 MiB,72.7 MiB,5.42 MiB,20.7 MiB,15.6 MiB,107 MiB
2025-11-14 13:40:45,32 MiB,73.7 MiB,4.22 MiB,20.2 MiB,15.6 MiB,107 MiB
2025-11-14 13:41:00,20 MiB,74.9 MiB,4.68 MiB,20.2 MiB,15.6 MiB,107 MiB
2025-11-14 13:41:15,64 MiB,75.8 MiB,3.90 MiB,20.2 MiB,15.6 MiB,107 MiB
2025-11-14 13:41:30,80 MiB,76.8 MiB,4.24 MiB,20.2 MiB,15.6 MiB,107 MiB
2025-11-14 13:41:45,76 MiB,77.4 MiB,4 MiB,20.2 MiB,15.6 MiB,107 MiB
2025-11-14 13:42:00,40 MiB,77.6 MiB,4.13 MiB,20.2 MiB,15.6 MiB,107 MiB
2025-11-14 13:42:15,0 B,78.6 MiB,6.80 MiB,20.3 MiB,15.6 MiB,107 MiB
2025-11-14 13:42:30,82 MiB,79.8 MiB,4.28 MiB,20.3 MiB,15.6 MiB,107 MiB
2025-11-14 13:42:45,62 MiB,79.9 MiB,3.67 MiB,20.3 MiB,15.6 MiB,107 MiB
2025-11-14 13:43:00,18 MiB,80.4 MiB,4.30 MiB,20.3 MiB,15.6 MiB,107 MiB
2025-11-14 13:43:15,12 MiB,80.7 MiB,4.57 MiB,20.3 MiB,15.6 MiB,107 MiB
2025-11-14 13:43:30,2 MiB,80.6 MiB,5.04 MiB,20.3 MiB,15.6 MiB,107 MiB
2025-11-14 13:43:45,0 B,81.0 MiB,4.51 MiB,20.4 MiB,15.6 MiB,107 MiB
2025-11-14 13:44:00,26 MiB,80.4 MiB,3.64 MiB,20.4 MiB,15.6 MiB,107 MiB
2025-11-14 13:44:15,18 MiB,80.2 MiB,5.59 MiB,20.4 MiB,15.6 MiB,107 MiB
2025-11-14 13:44:30,20 MiB,80.4 MiB,4.77 MiB,20.4 MiB,15.6 MiB,107 MiB
2025-11-14 13:44:45,30 MiB,80.6 MiB,4.73 MiB,21.5 MiB,15.6 MiB,107 MiB
2025-11-14 13:45:00,68 MiB,80.1 MiB,5.01 MiB,20.3 MiB,15.6 MiB,107 MiB
2025-11-14 13:45:15,48 MiB,80.4 MiB,6.75 MiB,20.4 MiB,15.6 MiB,107 MiB
2025-11-14 13:45:30,74 MiB,81.2 MiB,5.27 MiB,20.4 MiB,15.6 MiB,107 MiB
2025-11-14 13:45:45,80 MiB,81.2 MiB,5.27 MiB,20.4 MiB,15.6 MiB,107 MiB
