"Time","GET /actuator/health","GET /actuator/prometheus","GET /api/v1/crypto/trending","GET /api/v1/portfolios","POST /api/v1/market/prices","POST /api/v1/market/prices"
2025-11-14 15:21:00,,26.2 ms,,,,
2025-11-14 15:21:15,,25.4 ms,,,,
2025-11-14 15:21:30,NaN,25.1 ms,,30.9 ms,,
2025-11-14 15:21:45,NaN,24.7 ms,48.8 ms,21.5 ms,,316 ms
2025-11-14 15:22:00,NaN,23.9 ms,47.4 ms,18.3 ms,,309 ms
2025-11-14 15:22:15,NaN,22.8 ms,45.8 ms,16.5 ms,,297 ms
2025-11-14 15:22:30,NaN,22.6 ms,43.5 ms,14.1 ms,,278 ms
2025-11-14 15:22:45,NaN,22.5 ms,41.5 ms,13.7 ms,,280 ms
2025-11-14 15:23:00,NaN,24.2 ms,40.2 ms,13.4 ms,,311 ms
2025-11-14 15:23:15,NaN,24.7 ms,37.6 ms,13.3 ms,,365 ms
2025-11-14 15:23:30,NaN,25.7 ms,36.1 ms,13.3 ms,,414 ms
2025-11-14 15:23:45,NaN,24.5 ms,33.6 ms,13.5 ms,,456 ms
2025-11-14 15:24:00,NaN,24.9 ms,32.3 ms,13.7 ms,,474 ms
2025-11-14 15:24:15,NaN,23.9 ms,30.8 ms,13.9 ms,,498 ms
2025-11-14 15:24:30,NaN,24.1 ms,29.5 ms,13.9 ms,,529 ms
2025-11-14 15:24:45,NaN,24.1 ms,28.0 ms,14.3 ms,,571 ms
2025-11-14 15:25:00,NaN,25.6 ms,26.6 ms,14.2 ms,,589 ms
2025-11-14 15:25:15,NaN,24.6 ms,25.8 ms,14.0 ms,,592 ms
2025-11-14 15:25:30,NaN,24.1 ms,25.8 ms,13.8 ms,,593 ms
2025-11-14 15:25:45,NaN,25.7 ms,25.6 ms,14.4 ms,,621 ms
2025-11-14 15:26:00,NaN,25.9 ms,25.4 ms,14.9 ms,,640 ms
2025-11-14 15:26:15,NaN,25.3 ms,25.4 ms,15.3 ms,,654 ms
2025-11-14 15:26:30,NaN,24.5 ms,25.8 ms,15.5 ms,,655 ms
2025-11-14 15:26:45,NaN,26.1 ms,26.1 ms,15.4 ms,,660 ms
2025-11-14 15:27:00,NaN,26.4 ms,25.5 ms,15.2 ms,351 ms,665 ms
2025-11-14 15:27:15,NaN,25.3 ms,24.8 ms,14.9 ms,350 ms,672 ms
2025-11-14 15:27:30,NaN,24.6 ms,24.6 ms,15.4 ms,358 ms,671 ms
2025-11-14 15:27:45,NaN,35.4 ms,25.2 ms,17.9 ms,365 ms,671 ms
2025-11-14 15:28:00,NaN,34.5 ms,26.2 ms,19.4 ms,365 ms,681 ms
2025-11-14 15:28:15,NaN,33.6 ms,26.1 ms,20.4 ms,376 ms,678 ms
2025-11-14 15:28:30,NaN,23.2 ms,26.8 ms,19.5 ms,383 ms,703 ms
2025-11-14 15:28:45,NaN,24.7 ms,26.2 ms,19.0 ms,383 ms,691 ms
2025-11-14 15:29:00,NaN,25.6 ms,27.3 ms,20.8 ms,362 ms,703 ms
2025-11-14 15:29:15,NaN,24.9 ms,26.4 ms,19.3 ms,364 ms,683 ms
2025-11-14 15:29:30,NaN,23.0 ms,26.3 ms,18.7 ms,364 ms,685 ms
2025-11-14 15:29:45,NaN,22.9 ms,26.6 ms,17.3 ms,383 ms,684 ms
2025-11-14 15:30:00,NaN,24.6 ms,26.9 ms,17.9 ms,NaN,681 ms
2025-11-14 15:30:15,NaN,24.6 ms,28.0 ms,18.9 ms,592 ms,685 ms
2025-11-14 15:30:30,NaN,29.1 ms,28.3 ms,18.6 ms,592 ms,687 ms
2025-11-14 15:30:45,NaN,29.2 ms,29.2 ms,19.9 ms,592 ms,697 ms
2025-11-14 15:31:00,NaN,31.7 ms,29.8 ms,21.5 ms,NaN,699 ms
2025-11-14 15:31:15,NaN,27.7 ms,29.4 ms,22.0 ms,NaN,698 ms
2025-11-14 15:31:30,NaN,25.9 ms,29.4 ms,22.6 ms,NaN,694 ms
2025-11-14 15:31:45,NaN,23.5 ms,28.2 ms,21.2 ms,NaN,693 ms
