"Time","CPU %"
2025-11-14 15:21:00,0.691%
2025-11-14 15:21:15,0.758%
2025-11-14 15:21:30,1.54%
2025-11-14 15:21:45,1.02%
2025-11-14 15:22:00,1.55%
2025-11-14 15:22:15,0.942%
2025-11-14 15:22:30,1.66%
2025-11-14 15:22:45,1.95%
2025-11-14 15:23:00,1.49%
2025-11-14 15:23:15,2.42%
2025-11-14 15:23:30,2.94%
2025-11-14 15:23:45,2.49%
2025-11-14 15:24:00,2.81%
2025-11-14 15:24:15,4.85%
2025-11-14 15:24:30,3.41%
2025-11-14 15:24:45,6.92%
2025-11-14 15:25:00,5.08%
2025-11-14 15:25:15,5.88%
2025-11-14 15:25:30,6.15%
2025-11-14 15:25:45,4.57%
2025-11-14 15:26:00,5.95%
2025-11-14 15:26:15,7.64%
2025-11-14 15:26:30,6.81%
2025-11-14 15:26:45,5.99%
2025-11-14 15:27:00,6.97%
2025-11-14 15:27:15,4.08%
2025-11-14 15:27:30,5.60%
2025-11-14 15:27:45,4.31%
2025-11-14 15:28:00,5.82%
2025-11-14 15:28:15,7.92%
2025-11-14 15:28:30,7.15%
2025-11-14 15:28:45,6.86%
2025-11-14 15:29:00,8.52%
2025-11-14 15:29:15,7.32%
2025-11-14 15:29:30,7.23%
2025-11-14 15:29:45,7.08%
2025-11-14 15:30:00,8.68%
2025-11-14 15:30:15,5.98%
2025-11-14 15:30:30,8.76%
2025-11-14 15:30:45,9.81%
2025-11-14 15:31:00,8.02%
2025-11-14 15:31:15,0.411%
2025-11-14 15:31:30,0.199%
2025-11-14 15:31:45,0.383%
