"Time","heap - G1 Eden Space","heap - G1 Old Gen","heap - G1 Survivor Space","nonheap - CodeCache","nonheap - Compressed Class Space","nonheap - Metaspace"
2025-11-14 15:21:00,72 MiB,66.9 MiB,6.38 MiB,16.5 MiB,14.4 MiB,97.8 MiB
2025-11-14 15:21:15,4 MiB,65.8 MiB,8.83 MiB,16.2 MiB,14.9 MiB,101 MiB
2025-11-14 15:21:30,44 MiB,67.7 MiB,9.78 MiB,20.6 MiB,15.5 MiB,107 MiB
2025-11-14 15:21:45,60 MiB,73.9 MiB,5.69 MiB,21.3 MiB,15.4 MiB,106 MiB
2025-11-14 15:22:00,40 MiB,62.1 MiB,6 MiB,24.4 MiB,15.4 MiB,106 MiB
2025-11-14 15:22:15,34 MiB,59.0 MiB,6.53 MiB,20.5 MiB,15.4 MiB,106 MiB
2025-11-14 15:22:30,8 MiB,57.8 MiB,6.59 MiB,20.6 MiB,15.4 MiB,106 MiB
2025-11-14 15:22:45,44 MiB,60.2 MiB,2.19 MiB,22.1 MiB,15.4 MiB,106 MiB
2025-11-14 15:23:00,72 MiB,60.7 MiB,2.45 MiB,18.7 MiB,15.4 MiB,106 MiB
2025-11-14 15:23:15,96 MiB,60.3 MiB,2.34 MiB,19.0 MiB,15.4 MiB,106 MiB
2025-11-14 15:23:30,98 MiB,60.2 MiB,1.95 MiB,20.3 MiB,15.4 MiB,106 MiB
2025-11-14 15:23:45,4 MiB,59.8 MiB,3.26 MiB,19.6 MiB,15.4 MiB,106 MiB
2025-11-14 15:24:00,4 MiB,59.9 MiB,2.84 MiB,19.1 MiB,15.4 MiB,106 MiB
2025-11-14 15:24:15,12 MiB,60.6 MiB,2.75 MiB,19.2 MiB,15.4 MiB,106 MiB
2025-11-14 15:24:30,12 MiB,61.3 MiB,4.17 MiB,19.3 MiB,15.4 MiB,106 MiB
2025-11-14 15:24:45,40.0 MiB,62.4 MiB,4.09 MiB,19.4 MiB,15.4 MiB,106 MiB
2025-11-14 15:25:00,94 MiB,63.7 MiB,3.13 MiB,19.4 MiB,15.4 MiB,106 MiB
2025-11-14 15:25:15,80 MiB,64.9 MiB,4.42 MiB,19.5 MiB,15.4 MiB,106 MiB
2025-11-14 15:25:30,0 B,66.6 MiB,3.67 MiB,20.2 MiB,15.4 MiB,106 MiB
2025-11-14 15:25:45,38 MiB,67.7 MiB,4.47 MiB,19.7 MiB,15.4 MiB,106 MiB
2025-11-14 15:26:00,24 MiB,69.2 MiB,3.96 MiB,21.1 MiB,15.4 MiB,106 MiB
2025-11-14 15:26:15,34 MiB,70.2 MiB,5.59 MiB,20.0 MiB,15.4 MiB,106 MiB
2025-11-14 15:26:30,22 MiB,71.4 MiB,4.71 MiB,19.5 MiB,15.4 MiB,106 MiB
2025-11-14 15:26:45,28 MiB,72.4 MiB,3.11 MiB,19.4 MiB,15.4 MiB,106 MiB
2025-11-14 15:27:00,6 MiB,75.4 MiB,5.20 MiB,19.5 MiB,15.4 MiB,106 MiB
2025-11-14 15:27:15,26 MiB,76.2 MiB,4.72 MiB,19.5 MiB,15.4 MiB,106 MiB
2025-11-14 15:27:30,40 MiB,77.0 MiB,3.37 MiB,19.5 MiB,15.4 MiB,106 MiB
2025-11-14 15:27:45,50 MiB,78.6 MiB,3.06 MiB,19.6 MiB,15.4 MiB,106 MiB
2025-11-14 15:28:00,82 MiB,79.2 MiB,3.88 MiB,19.6 MiB,15.4 MiB,106 MiB
2025-11-14 15:28:15,40 MiB,79.7 MiB,2.26 MiB,19.7 MiB,15.4 MiB,106 MiB
2025-11-14 15:28:30,28 MiB,80.7 MiB,3.16 MiB,20.8 MiB,15.4 MiB,106 MiB
2025-11-14 15:28:45,50 MiB,80.4 MiB,4.42 MiB,19.7 MiB,15.4 MiB,106 MiB
2025-11-14 15:29:00,30 MiB,80.4 MiB,2.48 MiB,19.7 MiB,15.4 MiB,106 MiB
2025-11-14 15:29:15,76 MiB,79.9 MiB,5.49 MiB,19.7 MiB,15.4 MiB,106 MiB
2025-11-14 15:29:30,32 MiB,80.4 MiB,5.16 MiB,19.4 MiB,15.4 MiB,106 MiB
2025-11-14 15:29:45,56 MiB,80.6 MiB,3.27 MiB,19.4 MiB,15.4 MiB,106 MiB
2025-11-14 15:30:00,26 MiB,80.2 MiB,4.74 MiB,19.4 MiB,15.4 MiB,106 MiB
2025-11-14 15:30:15,66 MiB,80.1 MiB,4.51 MiB,20.6 MiB,15.4 MiB,106 MiB
2025-11-14 15:30:30,28 MiB,80.6 MiB,4.08 MiB,19.5 MiB,15.4 MiB,106 MiB
2025-11-14 15:30:45,60 MiB,80.3 MiB,4.86 MiB,19.5 MiB,15.4 MiB,106 MiB
2025-11-14 15:31:00,0 B,80.7 MiB,3.05 MiB,19.4 MiB,15.4 MiB,106 MiB
2025-11-14 15:31:15,50 MiB,80.3 MiB,4.50 MiB,19.4 MiB,15.4 MiB,106 MiB
2025-11-14 15:31:30,56 MiB,80.3 MiB,4.50 MiB,19.4 MiB,15.4 MiB,106 MiB
2025-11-14 15:31:45,60 MiB,80.3 MiB,4.50 MiB,19.4 MiB,15.4 MiB,106 MiB
