"Time","CPU %"
2025-11-18 00:34:00,0.507%
2025-11-18 00:34:15,0.694%
2025-11-18 00:34:30,0.694%
2025-11-18 00:34:45,0.694%
2025-11-18 00:35:00,0.694%
2025-11-18 00:35:15,0.694%
2025-11-18 00:35:30,0.694%
2025-11-18 00:35:45,0.694%
2025-11-18 00:36:00,0.694%
2025-11-18 00:36:15,0.694%
2025-11-18 00:36:30,0.694%
2025-11-18 00:36:45,0.694%
2025-11-18 00:37:00,0.694%
2025-11-18 00:37:15,0.694%
2025-11-18 00:37:30,0.694%
2025-11-18 00:37:45,0.694%
2025-11-18 00:38:00,0.694%
2025-11-18 00:38:15,0.694%
2025-11-18 00:38:30,0.694%
2025-11-18 00:38:45,0.694%
2025-11-18 00:39:00,0.694%
