"Time","heap - G1 Eden Space","heap - G1 Old Gen","heap - G1 Survivor Space","nonheap - CodeCache","nonheap - Compressed Class Space","nonheap - Metaspace"
2025-11-18 00:34:00,68.0 MiB,77.8 MiB,989 KiB,16.4 MiB,15.7 MiB,107 MiB
2025-11-18 00:34:15,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:34:30,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:34:45,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:35:00,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:35:15,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:35:30,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:35:45,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:36:00,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:36:15,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:36:30,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:36:45,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:37:00,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:37:15,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:37:30,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:37:45,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:38:00,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:38:15,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:38:30,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:38:45,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
2025-11-18 00:39:00,78.0 MiB,77.8 MiB,989 KiB,16.9 MiB,15.7 MiB,107 MiB
