"Time"," Active Threads"
2025-11-18 16:44:00,94
2025-11-18 16:44:15,94
2025-11-18 16:44:30,96
2025-11-18 16:44:45,96
2025-11-18 16:45:00,96
2025-11-18 16:45:15,96
2025-11-18 16:45:30,95
2025-11-18 16:45:45,95
2025-11-18 16:46:00,95
2025-11-18 16:46:15,95
2025-11-18 16:46:30,95
2025-11-18 16:46:45,95
2025-11-18 16:47:00,95
2025-11-18 16:47:15,95
2025-11-18 16:47:30,96
2025-11-18 16:47:45,96
2025-11-18 16:48:00,96
2025-11-18 16:48:15,96
2025-11-18 16:48:30,95
2025-11-18 16:48:45,95
2025-11-18 16:49:00,95
2025-11-18 16:49:15,95
2025-11-18 16:49:30,95
2025-11-18 16:49:45,95
2025-11-18 16:50:00,95
2025-11-18 16:50:15,95
2025-11-18 16:50:30,98
2025-11-18 16:50:45,101
2025-11-18 16:51:00,101
2025-11-18 16:51:15,102
2025-11-18 16:51:30,103
2025-11-18 16:51:45,104
2025-11-18 16:52:00,112
2025-11-18 16:52:15,113
2025-11-18 16:52:30,116
2025-11-18 16:52:45,122
2025-11-18 16:53:00,124
2025-11-18 16:53:15,124
2025-11-18 16:53:30,129
2025-11-18 16:53:45,133
2025-11-18 16:54:00,133
2025-11-18 16:54:15,135
2025-11-18 16:54:30,136
2025-11-18 16:54:45,135
2025-11-18 16:55:00,135
