"Time","GET /actuator/health","GET /actuator/prometheus","GET /api/v1/auth/perf/stats","GET /api/v1/auth/perf/tokens","POST /api/v1/auth/dev-login","POST /api/v1/market/prices"
2025-11-18 16:44:00,,23.7 ms,NaN,NaN,,
2025-11-18 16:44:15,,21.3 ms,NaN,NaN,,
2025-11-18 16:44:30,,21.8 ms,NaN,NaN,,
2025-11-18 16:44:45,NaN,23.6 ms,NaN,NaN,NaN,233 ms
2025-11-18 16:45:00,NaN,25.4 ms,NaN,NaN,NaN,205 ms
2025-11-18 16:45:15,NaN,28.0 ms,NaN,NaN,NaN,206 ms
2025-11-18 16:45:30,NaN,24.9 ms,NaN,NaN,NaN,205 ms
2025-11-18 16:45:45,NaN,24.8 ms,NaN,NaN,NaN,201 ms
2025-11-18 16:46:00,NaN,20.8 ms,NaN,NaN,NaN,198 ms
2025-11-18 16:46:15,NaN,22.4 ms,NaN,NaN,NaN,205 ms
2025-11-18 16:46:30,NaN,22.0 ms,NaN,NaN,NaN,230 ms
2025-11-18 16:46:45,NaN,22.2 ms,NaN,NaN,NaN,276 ms
2025-11-18 16:47:00,NaN,22.3 ms,NaN,NaN,NaN,349 ms
2025-11-18 16:47:15,NaN,23.3 ms,NaN,NaN,NaN,469 ms
2025-11-18 16:47:30,NaN,23.4 ms,NaN,NaN,NaN,622 ms
2025-11-18 16:47:45,NaN,22.7 ms,NaN,NaN,NaN,768 ms
2025-11-18 16:48:00,NaN,21.7 ms,NaN,NaN,NaN,913 ms
2025-11-18 16:48:15,NaN,23.1 ms,NaN,NaN,NaN,1.06 s
2025-11-18 16:48:30,NaN,23.9 ms,NaN,NaN,NaN,1.21 s
2025-11-18 16:48:45,NaN,22.8 ms,NaN,NaN,NaN,1.35 s
2025-11-18 16:49:00,NaN,23.6 ms,NaN,NaN,NaN,1.49 s
2025-11-18 16:49:15,NaN,22.3 ms,NaN,NaN,NaN,1.63 s
2025-11-18 16:49:30,NaN,21.7 ms,NaN,NaN,NaN,1.79 s
2025-11-18 16:49:45,NaN,21.2 ms,NaN,NaN,NaN,1.94 s
2025-11-18 16:50:00,NaN,21.0 ms,NaN,NaN,NaN,2.09 s
2025-11-18 16:50:15,NaN,22.4 ms,NaN,NaN,NaN,2.23 s
2025-11-18 16:50:30,NaN,19.4 ms,NaN,NaN,NaN,2.35 s
2025-11-18 16:50:45,NaN,20.4 ms,NaN,NaN,NaN,2.51 s
2025-11-18 16:51:00,NaN,21.4 ms,NaN,NaN,NaN,2.66 s
2025-11-18 16:51:15,NaN,23.4 ms,NaN,NaN,NaN,2.82 s
2025-11-18 16:51:30,NaN,21.3 ms,NaN,NaN,NaN,2.96 s
2025-11-18 16:51:45,NaN,19.0 ms,NaN,NaN,NaN,3.08 s
2025-11-18 16:52:00,NaN,18.8 ms,NaN,NaN,NaN,3.20 s
2025-11-18 16:52:15,NaN,22.1 ms,NaN,NaN,NaN,3.34 s
2025-11-18 16:52:30,NaN,22.1 ms,NaN,NaN,NaN,3.51 s
2025-11-18 16:52:45,NaN,22.7 ms,NaN,NaN,NaN,3.68 s
2025-11-18 16:53:00,NaN,20.4 ms,NaN,NaN,NaN,3.84 s
2025-11-18 16:53:15,NaN,21.4 ms,NaN,NaN,NaN,4.01 s
2025-11-18 16:53:30,NaN,21.8 ms,NaN,NaN,NaN,4.10 s
2025-11-18 16:53:45,NaN,23.4 ms,NaN,NaN,NaN,4.30 s
2025-11-18 16:54:00,NaN,23.2 ms,NaN,NaN,NaN,4.42 s
2025-11-18 16:54:15,NaN,22.3 ms,NaN,NaN,NaN,4.63 s
2025-11-18 16:54:30,NaN,20.6 ms,NaN,NaN,NaN,4.68 s
2025-11-18 16:54:45,NaN,20.7 ms,NaN,NaN,NaN,4.76 s
2025-11-18 16:55:00,NaN,20.7 ms,NaN,NaN,NaN,4.78 s
