"Time","CPU %"
2025-11-18 16:44:00,0.384%
2025-11-18 16:44:15,0.752%
2025-11-18 16:44:30,1.13%
2025-11-18 16:44:45,1.66%
2025-11-18 16:45:00,1.02%
2025-11-18 16:45:15,0.903%
2025-11-18 16:45:30,0.768%
2025-11-18 16:45:45,0.765%
2025-11-18 16:46:00,0.892%
2025-11-18 16:46:15,2.36%
2025-11-18 16:46:30,0.384%
2025-11-18 16:46:45,2.55%
2025-11-18 16:47:00,1.21%
2025-11-18 16:47:15,1.15%
2025-11-18 16:47:30,3.59%
2025-11-18 16:47:45,1.99%
2025-11-18 16:48:00,3.83%
2025-11-18 16:48:15,1.41%
2025-11-18 16:48:30,2.30%
2025-11-18 16:48:45,3.21%
2025-11-18 16:49:00,8.25%
2025-11-18 16:49:15,3.83%
2025-11-18 16:49:30,3.37%
2025-11-18 16:49:45,4.62%
2025-11-18 16:50:00,5.88%
2025-11-18 16:50:15,5.78%
2025-11-18 16:50:30,4.73%
2025-11-18 16:50:45,10.7%
2025-11-18 16:51:00,6.26%
2025-11-18 16:51:15,3.34%
2025-11-18 16:51:30,6.56%
2025-11-18 16:51:45,4.72%
2025-11-18 16:52:00,3.32%
2025-11-18 16:52:15,8.72%
2025-11-18 16:52:30,6.64%
2025-11-18 16:52:45,2.44%
2025-11-18 16:53:00,5.64%
2025-11-18 16:53:15,8.85%
2025-11-18 16:53:30,4.21%
2025-11-18 16:53:45,7.42%
2025-11-18 16:54:00,6.92%
2025-11-18 16:54:15,4.93%
2025-11-18 16:54:30,0.511%
2025-11-18 16:54:45,0.768%
2025-11-18 16:55:00,0.564%
