"Time","heap - G1 Eden Space","heap - G1 Old Gen","heap - G1 Survivor Space","nonheap - CodeCache","nonheap - Compressed Class Space","nonheap - Metaspace"
2025-11-18 16:44:00,36 MiB,68.7 MiB,7.75 MiB,18.3 MiB,14.9 MiB,101 MiB
2025-11-18 16:44:15,42 MiB,68.7 MiB,7.75 MiB,17.8 MiB,14.9 MiB,101 MiB
2025-11-18 16:44:30,16 MiB,71.6 MiB,5.96 MiB,19.7 MiB,15.7 MiB,108 MiB
2025-11-18 16:44:45,26 MiB,73.2 MiB,5.26 MiB,22.1 MiB,15.5 MiB,107 MiB
2025-11-18 16:45:00,16 MiB,73.2 MiB,7.23 MiB,20.9 MiB,15.5 MiB,107 MiB
2025-11-18 16:45:15,18 MiB,74.9 MiB,5.84 MiB,22.7 MiB,15.5 MiB,107 MiB
2025-11-18 16:45:30,32 MiB,65.3 MiB,4.35 MiB,22.7 MiB,15.5 MiB,107 MiB
2025-11-18 16:45:45,56 MiB,60.9 MiB,4.09 MiB,22.7 MiB,15.5 MiB,107 MiB
2025-11-18 16:46:00,36 MiB,60.9 MiB,4.78 MiB,24.7 MiB,15.5 MiB,107 MiB
2025-11-18 16:46:15,64 MiB,59.6 MiB,4.55 MiB,23.5 MiB,15.5 MiB,107 MiB
2025-11-18 16:46:30,68 MiB,59.6 MiB,5.87 MiB,16.2 MiB,15.5 MiB,107 MiB
2025-11-18 16:46:45,8 MiB,58.4 MiB,6 MiB,16.6 MiB,15.5 MiB,107 MiB
2025-11-18 16:47:00,46 MiB,57.4 MiB,6.56 MiB,14.8 MiB,15.5 MiB,107 MiB
2025-11-18 16:47:15,30 MiB,59.8 MiB,3.77 MiB,17.2 MiB,15.5 MiB,107 MiB
2025-11-18 16:47:30,14 MiB,59.9 MiB,4.00 MiB,16.4 MiB,15.5 MiB,107 MiB
2025-11-18 16:47:45,34 MiB,60.5 MiB,3.67 MiB,15.9 MiB,15.5 MiB,107 MiB
2025-11-18 16:48:00,76 MiB,60.4 MiB,4.20 MiB,15.4 MiB,15.5 MiB,107 MiB
2025-11-18 16:48:15,66 MiB,60.5 MiB,5.36 MiB,15.4 MiB,15.5 MiB,107 MiB
2025-11-18 16:48:30,68 MiB,60.5 MiB,5.50 MiB,14.7 MiB,15.5 MiB,107 MiB
2025-11-18 16:48:45,20 MiB,61.6 MiB,5.11 MiB,14.7 MiB,15.5 MiB,107 MiB
2025-11-18 16:49:00,12 MiB,62.5 MiB,6.16 MiB,14.8 MiB,15.5 MiB,107 MiB
2025-11-18 16:49:15,24 MiB,63.4 MiB,5.72 MiB,14.7 MiB,15.5 MiB,107 MiB
2025-11-18 16:49:30,72 MiB,65.6 MiB,4.95 MiB,14.8 MiB,15.5 MiB,107 MiB
2025-11-18 16:49:45,64 MiB,66.1 MiB,6 MiB,14.8 MiB,15.5 MiB,107 MiB
2025-11-18 16:50:00,16 MiB,67.2 MiB,6 MiB,14.8 MiB,15.5 MiB,107 MiB
2025-11-18 16:50:15,38 MiB,68.7 MiB,5.28 MiB,14.8 MiB,15.5 MiB,107 MiB
2025-11-18 16:50:30,26 MiB,70.4 MiB,4.79 MiB,15.6 MiB,15.5 MiB,107 MiB
2025-11-18 16:50:45,44 MiB,70.9 MiB,5.72 MiB,15.1 MiB,15.5 MiB,107 MiB
2025-11-18 16:51:00,22 MiB,71.5 MiB,6 MiB,15.2 MiB,15.5 MiB,107 MiB
2025-11-18 16:51:15,16 MiB,73.2 MiB,5.56 MiB,15.2 MiB,15.5 MiB,107 MiB
2025-11-18 16:51:30,4 MiB,75.3 MiB,3.69 MiB,15.2 MiB,15.5 MiB,107 MiB
2025-11-18 16:51:45,32 MiB,74.9 MiB,3.33 MiB,15.2 MiB,15.5 MiB,107 MiB
2025-11-18 16:52:00,10 MiB,77.3 MiB,4.71 MiB,15.2 MiB,15.5 MiB,107 MiB
2025-11-18 16:52:15,64 MiB,77.0 MiB,4.79 MiB,15.2 MiB,15.5 MiB,107 MiB
2025-11-18 16:52:30,36 MiB,76.4 MiB,7.72 MiB,15.8 MiB,15.5 MiB,107 MiB
2025-11-18 16:52:45,20 MiB,78.5 MiB,5.58 MiB,15.3 MiB,15.5 MiB,107 MiB
2025-11-18 16:53:00,42 MiB,79.5 MiB,5.66 MiB,16.0 MiB,15.5 MiB,107 MiB
2025-11-18 16:53:15,34 MiB,79.6 MiB,4.73 MiB,15.4 MiB,15.5 MiB,107 MiB
2025-11-18 16:53:30,58 MiB,80.3 MiB,6 MiB,15.4 MiB,15.5 MiB,107 MiB
2025-11-18 16:53:45,4 MiB,81.4 MiB,6.31 MiB,15.5 MiB,15.6 MiB,107 MiB
2025-11-18 16:54:00,22 MiB,80.7 MiB,6.99 MiB,15.5 MiB,15.6 MiB,107 MiB
2025-11-18 16:54:15,18 MiB,80.5 MiB,8.17 MiB,15.5 MiB,15.6 MiB,107 MiB
2025-11-18 16:54:30,50 MiB,82.4 MiB,5.08 MiB,15.5 MiB,15.6 MiB,107 MiB
2025-11-18 16:54:45,56 MiB,82.4 MiB,5.08 MiB,15.5 MiB,15.6 MiB,107 MiB
2025-11-18 16:55:00,62 MiB,82.4 MiB,5.08 MiB,15.5 MiB,15.6 MiB,107 MiB
