"Time","GET /actuator/health 200","GET /actuator/prometheus 200","GET /api/v1/auth/perf/stats 200","GET /api/v1/auth/perf/tokens 200","POST /api/v1/auth/dev-login 200","POST /api/v1/market/prices 200"
2025-11-18 16:44:00,,7 req/s,1 req/s,1 req/s,,
2025-11-18 16:44:15,,8 req/s,1 req/s,1 req/s,,
2025-11-18 16:44:30,1 req/s,9 req/s,1 req/s,1 req/s,1 req/s,6 req/s
2025-11-18 16:44:45,1 req/s,10 req/s,1 req/s,1 req/s,1 req/s,41 req/s
2025-11-18 16:45:00,1 req/s,11 req/s,1 req/s,1 req/s,1 req/s,107 req/s
2025-11-18 16:45:15,1 req/s,12 req/s,1 req/s,1 req/s,1 req/s,205 req/s
2025-11-18 16:45:30,1 req/s,13 req/s,1 req/s,1 req/s,1 req/s,329 req/s
2025-11-18 16:45:45,1 req/s,14 req/s,1 req/s,1 req/s,1 req/s,488 req/s
2025-11-18 16:46:00,1 req/s,15 req/s,1 req/s,1 req/s,1 req/s,676 req/s
2025-11-18 16:46:15,1 req/s,16 req/s,1 req/s,1 req/s,1 req/s,814 req/s
2025-11-18 16:46:30,1 req/s,17 req/s,1 req/s,1 req/s,1 req/s,1.05K req/s
2025-11-18 16:46:45,1 req/s,18 req/s,1 req/s,1 req/s,1 req/s,1.31K req/s
2025-11-18 16:47:00,1 req/s,19 req/s,1 req/s,1 req/s,1 req/s,1.55K req/s
2025-11-18 16:47:15,1 req/s,20 req/s,1 req/s,1 req/s,1 req/s,1.81K req/s
2025-11-18 16:47:30,1 req/s,21 req/s,1 req/s,1 req/s,1 req/s,2.05K req/s
2025-11-18 16:47:45,1 req/s,22 req/s,1 req/s,1 req/s,1 req/s,2.30K req/s
2025-11-18 16:48:00,1 req/s,23 req/s,1 req/s,1 req/s,1 req/s,2.55K req/s
2025-11-18 16:48:15,1 req/s,24 req/s,1 req/s,1 req/s,1 req/s,2.80K req/s
2025-11-18 16:48:30,1 req/s,25 req/s,1 req/s,1 req/s,1 req/s,3.05K req/s
2025-11-18 16:48:45,1 req/s,26 req/s,1 req/s,1 req/s,1 req/s,3.30K req/s
2025-11-18 16:49:00,1 req/s,27 req/s,1 req/s,1 req/s,1 req/s,3.55K req/s
2025-11-18 16:49:15,1 req/s,28 req/s,1 req/s,1 req/s,1 req/s,3.80K req/s
2025-11-18 16:49:30,1 req/s,29 req/s,1 req/s,1 req/s,1 req/s,4.05K req/s
2025-11-18 16:49:45,1 req/s,30 req/s,1 req/s,1 req/s,1 req/s,4.30K req/s
2025-11-18 16:50:00,1 req/s,31 req/s,1 req/s,1 req/s,1 req/s,4.55K req/s
2025-11-18 16:50:15,1 req/s,32 req/s,1 req/s,1 req/s,1 req/s,4.80K req/s
2025-11-18 16:50:30,1 req/s,33 req/s,1 req/s,1 req/s,1 req/s,5.04K req/s
2025-11-18 16:50:45,1 req/s,34 req/s,1 req/s,1 req/s,1 req/s,5.30K req/s
2025-11-18 16:51:00,1 req/s,35 req/s,1 req/s,1 req/s,1 req/s,5.54K req/s
2025-11-18 16:51:15,1 req/s,36 req/s,1 req/s,1 req/s,1 req/s,5.79K req/s
2025-11-18 16:51:30,1 req/s,37 req/s,1 req/s,1 req/s,1 req/s,6.04K req/s
2025-11-18 16:51:45,1 req/s,38 req/s,1 req/s,1 req/s,1 req/s,6.29K req/s
2025-11-18 16:52:00,1 req/s,39 req/s,1 req/s,1 req/s,1 req/s,6.54K req/s
2025-11-18 16:52:15,1 req/s,40 req/s,1 req/s,1 req/s,1 req/s,6.79K req/s
2025-11-18 16:52:30,1 req/s,41 req/s,1 req/s,1 req/s,1 req/s,7.04K req/s
2025-11-18 16:52:45,1 req/s,42 req/s,1 req/s,1 req/s,1 req/s,7.29K req/s
2025-11-18 16:53:00,1 req/s,43 req/s,1 req/s,1 req/s,1 req/s,7.54K req/s
2025-11-18 16:53:15,1 req/s,44 req/s,1 req/s,1 req/s,1 req/s,7.79K req/s
2025-11-18 16:53:30,1 req/s,45 req/s,1 req/s,1 req/s,1 req/s,8.04K req/s
2025-11-18 16:53:45,1 req/s,46 req/s,1 req/s,1 req/s,1 req/s,8.29K req/s
2025-11-18 16:54:00,1 req/s,47 req/s,1 req/s,1 req/s,1 req/s,8.54K req/s
2025-11-18 16:54:15,1 req/s,48 req/s,1 req/s,1 req/s,1 req/s,8.78K req/s
2025-11-18 16:54:30,1 req/s,49 req/s,1 req/s,1 req/s,1 req/s,9.00K req/s
2025-11-18 16:54:45,1 req/s,50 req/s,1 req/s,1 req/s,1 req/s,9.00K req/s
2025-11-18 16:55:00,1 req/s,51 req/s,1 req/s,1 req/s,1 req/s,9.00K req/s
