"Time","/actuator/health","/actuator/prometheus","/api/v1/crypto/price/{symbol}","/api/v1/market/price/{symbol}","/api/v1/market/search"
2025-11-20 01:33:00,NaN,33 ms,5 ms,252 ms,199 ms
2025-11-20 01:33:15,NaN,33 ms,5 ms,819 ms,823 ms
2025-11-20 01:33:30,NaN,33 ms,4 ms,1 s,1 s
2025-11-20 01:33:45,NaN,33 ms,4 ms,2 s,2 s
2025-11-20 01:34:00,NaN,33 ms,3 ms,2 s,2 s
2025-11-20 01:34:15,NaN,33 ms,3 ms,2 s,2 s
2025-11-20 01:34:30,NaN,33 ms,3 ms,2 s,2 s
2025-11-20 01:34:45,NaN,28 ms,3 ms,2 s,2 s
2025-11-20 01:35:00,NaN,33 ms,3 ms,2 s,2 s
2025-11-20 01:35:15,NaN,33 ms,3 ms,2 s,2 s
2025-11-20 01:35:30,NaN,33 ms,4 ms,2 s,2 s
2025-11-20 01:35:45,NaN,33 ms,5 ms,2 s,2 s
2025-11-20 01:36:00,NaN,33 ms,7 ms,3 s,2 s
2025-11-20 01:36:15,NaN,33 ms,8 ms,2 s,2 s
2025-11-20 01:36:30,NaN,33 ms,8 ms,3 s,2 s
2025-11-20 01:36:45,NaN,55 ms,8 ms,2 s,2 s
2025-11-20 01:37:00,NaN,55 ms,7 ms,3 s,2 s
2025-11-20 01:37:15,NaN,55 ms,7 ms,3 s,2 s
2025-11-20 01:37:30,NaN,38 ms,7 ms,3 s,2 s
2025-11-20 01:37:45,NaN,38 ms,8 ms,3 s,2 s
2025-11-20 01:38:00,NaN,38 ms,8 ms,3 s,2 s
2025-11-20 01:38:15,NaN,38 ms,8 ms,3 s,2 s
2025-11-20 01:38:30,NaN,38 ms,8 ms,3 s,2 s
2025-11-20 01:38:45,NaN,33 ms,8 ms,3 s,2 s
2025-11-20 01:39:00,NaN,33 ms,8 ms,3 s,2 s
2025-11-20 01:39:15,NaN,38 ms,8 ms,3 s,2 s
2025-11-20 01:39:30,NaN,44 ms,7 ms,3 s,2 s
2025-11-20 01:39:45,NaN,44 ms,7 ms,3 s,2 s
2025-11-20 01:40:00,NaN,49 ms,6 ms,2 s,2 s
2025-11-20 01:40:15,NaN,49 ms,4 ms,2 s,2 s
2025-11-20 01:40:30,NaN,49 ms,4 ms,2 s,2 s
2025-11-20 01:40:45,NaN,38 ms,4 ms,1 s,888 ms
