"Time","GET /api/v1/market/price/{symbol}","GET /actuator/health","GET /actuator/prometheus","GET /api/v1/crypto/price/{symbol}","GET /api/v1/market/price/{symbol}","GET /api/v1/market/search"
2025-11-20 01:33:00,,NaN,27.0 ms,2.28 ms,93.4 ms,82.4 ms
2025-11-20 01:33:15,,NaN,28.5 ms,1.92 ms,205 ms,206 ms
2025-11-20 01:33:30,,NaN,29.2 ms,1.74 ms,431 ms,446 ms
2025-11-20 01:33:45,,NaN,28.2 ms,1.70 ms,816 ms,807 ms
2025-11-20 01:34:00,,NaN,28.8 ms,1.59 ms,1.28 s,1.27 s
2025-11-20 01:34:15,,NaN,27.8 ms,1.64 ms,1.63 s,1.61 s
2025-11-20 01:34:30,,NaN,28.4 ms,1.66 ms,1.78 s,1.76 s
2025-11-20 01:34:45,,NaN,26.4 ms,1.63 ms,1.88 s,1.84 s
2025-11-20 01:35:00,,NaN,27.8 ms,1.51 ms,1.94 s,1.88 s
2025-11-20 01:35:15,,NaN,27.2 ms,1.58 ms,2.00 s,1.92 s
2025-11-20 01:35:30,,NaN,27.7 ms,1.64 ms,2.04 s,1.96 s
2025-11-20 01:35:45,,NaN,28.2 ms,1.91 ms,2.09 s,2.00 s
2025-11-20 01:36:00,,NaN,28.9 ms,2.08 ms,2.12 s,2.03 s
2025-11-20 01:36:15,,NaN,29.9 ms,2.48 ms,2.14 s,2.05 s
2025-11-20 01:36:30,,NaN,30.7 ms,2.51 ms,2.15 s,2.07 s
2025-11-20 01:36:45,2.23 s,NaN,38.3 ms,2.50 ms,2.12 s,2.09 s
2025-11-20 01:37:00,2.24 s,NaN,36.1 ms,2.30 ms,2.13 s,2.09 s
2025-11-20 01:37:15,2.22 s,NaN,38.2 ms,2.27 ms,2.14 s,2.09 s
2025-11-20 01:37:30,2.44 s,NaN,30.6 ms,2.37 ms,2.17 s,2.07 s
2025-11-20 01:37:45,4.58 s,NaN,31.3 ms,2.48 ms,2.17 s,2.10 s
2025-11-20 01:38:00,4.58 s,NaN,30.5 ms,2.54 ms,2.17 s,2.11 s
2025-11-20 01:38:15,2.50 s,NaN,29.3 ms,2.51 ms,2.14 s,2.11 s
2025-11-20 01:38:30,2.31 s,NaN,30.2 ms,2.51 ms,2.15 s,2.09 s
2025-11-20 01:38:45,2.31 s,NaN,27.2 ms,2.54 ms,2.15 s,2.08 s
2025-11-20 01:39:00,2.23 s,NaN,27.9 ms,2.51 ms,2.17 s,2.07 s
2025-11-20 01:39:15,2.26 s,NaN,29.9 ms,2.52 ms,2.16 s,2.06 s
2025-11-20 01:39:30,2.26 s,NaN,35.3 ms,2.48 ms,2.16 s,2.06 s
2025-11-20 01:39:45,2.26 s,NaN,35.3 ms,2.29 ms,2.13 s,2.02 s
2025-11-20 01:40:00,NaN,NaN,38.7 ms,1.97 ms,1.99 s,1.92 s
2025-11-20 01:40:15,NaN,NaN,34.8 ms,1.70 ms,1.67 s,1.65 s
2025-11-20 01:40:30,NaN,NaN,38.0 ms,1.66 ms,1.25 s,1.32 s
2025-11-20 01:40:45,NaN,NaN,32.9 ms,1.83 ms,305 ms,252 ms
