"Time","CPU %"
2025-11-20 01:33:00,1.18%
2025-11-20 01:33:15,2.94%
2025-11-20 01:33:30,1.08%
2025-11-20 01:33:45,1.18%
2025-11-20 01:34:00,3.43%
2025-11-20 01:34:15,2.82%
2025-11-20 01:34:30,2.51%
2025-11-20 01:34:45,4.20%
2025-11-20 01:35:00,3.31%
2025-11-20 01:35:15,5.60%
2025-11-20 01:35:30,7.37%
2025-11-20 01:35:45,7.93%
2025-11-20 01:36:00,6.76%
2025-11-20 01:36:15,8.16%
2025-11-20 01:36:30,7.24%
2025-11-20 01:36:45,5.74%
2025-11-20 01:37:00,4.70%
2025-11-20 01:37:15,2.52%
2025-11-20 01:37:30,4.16%
2025-11-20 01:37:45,5.04%
2025-11-20 01:38:00,5.95%
2025-11-20 01:38:15,7.44%
2025-11-20 01:38:30,2.29%
2025-11-20 01:38:45,7.10%
2025-11-20 01:39:00,5.23%
2025-11-20 01:39:15,9.67%
2025-11-20 01:39:30,10.5%
2025-11-20 01:39:45,4.41%
2025-11-20 01:40:00,4.28%
2025-11-20 01:40:15,0.886%
2025-11-20 01:40:30,0.724%
2025-11-20 01:40:45,0.378%
