"Time","heap - G1 Eden Space","heap - G1 Old Gen","heap - G1 Survivor Space","nonheap - CodeCache","nonheap - Compressed Class Space","nonheap - Metaspace"
2025-11-20 01:33:00,82 MiB,71.3 MiB,3.63 MiB,22.8 MiB,15.4 MiB,106 MiB
2025-11-20 01:33:15,66 MiB,64.4 MiB,10.3 MiB,18.1 MiB,15.3 MiB,105 MiB
2025-11-20 01:33:30,54 MiB,67.4 MiB,8.85 MiB,18.6 MiB,15.3 MiB,105 MiB
2025-11-20 01:33:45,50 MiB,70.0 MiB,10 MiB,15.8 MiB,15.3 MiB,105 MiB
2025-11-20 01:34:00,24 MiB,72.4 MiB,9.39 MiB,16.0 MiB,15.3 MiB,105 MiB
2025-11-20 01:34:15,6 MiB,78.2 MiB,5.43 MiB,16.2 MiB,15.3 MiB,105 MiB
2025-11-20 01:34:30,78 MiB,78.4 MiB,9.40 MiB,16.0 MiB,15.3 MiB,105 MiB
2025-11-20 01:34:45,76 MiB,81.1 MiB,8.17 MiB,15.8 MiB,15.3 MiB,105 MiB
2025-11-20 01:35:00,16 MiB,86.5 MiB,6.62 MiB,16.3 MiB,15.3 MiB,105 MiB
2025-11-20 01:35:15,64 MiB,88.3 MiB,7.88 MiB,15.8 MiB,15.3 MiB,105 MiB
2025-11-20 01:35:30,54.0 MiB,90.5 MiB,8 MiB,15.9 MiB,15.3 MiB,105 MiB
2025-11-20 01:35:45,72 MiB,95.8 MiB,7.64 MiB,16.6 MiB,15.3 MiB,105 MiB
2025-11-20 01:36:00,60 MiB,102 MiB,8 MiB,16.0 MiB,15.3 MiB,105 MiB
2025-11-20 01:36:15,4 MiB,110 MiB,6.63 MiB,16.1 MiB,15.3 MiB,105 MiB
2025-11-20 01:36:30,34 MiB,114 MiB,11.2 MiB,16.4 MiB,15.3 MiB,105 MiB
2025-11-20 01:36:45,88 MiB,110 MiB,13.8 MiB,16.5 MiB,15.3 MiB,105 MiB
2025-11-20 01:37:00,114 MiB,110 MiB,10.2 MiB,18.2 MiB,15.3 MiB,105 MiB
2025-11-20 01:37:15,64 MiB,114 MiB,9.85 MiB,16.6 MiB,15.3 MiB,105 MiB
2025-11-20 01:37:30,102 MiB,114 MiB,9.84 MiB,16.6 MiB,15.3 MiB,105 MiB
2025-11-20 01:37:45,82 MiB,120 MiB,9.15 MiB,16.6 MiB,15.3 MiB,105 MiB
2025-11-20 01:38:00,48 MiB,127 MiB,10 MiB,16.6 MiB,15.3 MiB,105 MiB
2025-11-20 01:38:15,46 MiB,128 MiB,13.3 MiB,16.7 MiB,15.3 MiB,105 MiB
2025-11-20 01:38:30,46.0 MiB,118 MiB,10.2 MiB,16.7 MiB,15.3 MiB,105 MiB
2025-11-20 01:38:45,66 MiB,116 MiB,9.77 MiB,17.1 MiB,15.3 MiB,105 MiB
2025-11-20 01:39:00,26 MiB,117 MiB,10 MiB,16.6 MiB,15.3 MiB,105 MiB
2025-11-20 01:39:15,30 MiB,121 MiB,10.5 MiB,16.6 MiB,15.3 MiB,105 MiB
2025-11-20 01:39:30,10 MiB,126 MiB,9.59 MiB,16.7 MiB,15.3 MiB,105 MiB
2025-11-20 01:39:45,80 MiB,126 MiB,8.38 MiB,16.7 MiB,15.3 MiB,105 MiB
2025-11-20 01:40:00,4 MiB,126 MiB,3.93 MiB,16.7 MiB,15.3 MiB,105 MiB
2025-11-20 01:40:15,58 MiB,126 MiB,3.93 MiB,16.7 MiB,15.3 MiB,105 MiB
2025-11-20 01:40:30,64 MiB,126 MiB,3.93 MiB,16.7 MiB,15.3 MiB,105 MiB
2025-11-20 01:40:45,70 MiB,126 MiB,3.93 MiB,16.7 MiB,15.3 MiB,105 MiB
