"Time"," Active Threads"
2025-11-20 14:25:00,97
2025-11-20 14:25:15,97
2025-11-20 14:25:30,97
2025-11-20 14:25:45,97
2025-11-20 14:26:00,123
2025-11-20 14:26:15,141
2025-11-20 14:26:30,174
2025-11-20 14:26:45,195
2025-11-20 14:27:00,207
2025-11-20 14:27:15,235
2025-11-20 14:27:30,239
2025-11-20 14:27:45,247
2025-11-20 14:28:00,248
2025-11-20 14:28:15,248
2025-11-20 14:28:30,248
2025-11-20 14:28:45,247
2025-11-20 14:29:00,248
2025-11-20 14:29:15,248
2025-11-20 14:29:30,248
2025-11-20 14:29:45,247
2025-11-20 14:30:00,248
2025-11-20 14:30:15,248
2025-11-20 14:30:30,248
2025-11-20 14:30:45,247
2025-11-20 14:31:00,248
2025-11-20 14:31:15,248
2025-11-20 14:31:30,248
2025-11-20 14:31:45,248
2025-11-20 14:32:00,249
2025-11-20 14:32:15,248
2025-11-20 14:32:30,249
2025-11-20 14:32:45,249
2025-11-20 14:33:00,247
2025-11-20 14:33:15,246
