"Time","GET /api/v1/market/price/{symbol}","GET /actuator/health","GET /actuator/prometheus","GET /api/v1/crypto/price/{symbol}","GET /api/v1/market/price/{symbol}","GET /api/v1/market/search"
2025-11-20 14:25:00,,NaN,28.0 ms,,,
2025-11-20 14:25:15,,NaN,29.2 ms,1.89 ms,88.4 ms,89.5 ms
2025-11-20 14:25:30,,NaN,28.3 ms,1.66 ms,95.5 ms,89.4 ms
2025-11-20 14:25:45,,NaN,25.2 ms,1.54 ms,121 ms,128 ms
2025-11-20 14:26:00,,NaN,24.1 ms,1.48 ms,316 ms,279 ms
2025-11-20 14:26:15,,NaN,25.1 ms,1.54 ms,471 ms,429 ms
2025-11-20 14:26:30,,NaN,25.7 ms,1.55 ms,1.03 s,1.06 s
2025-11-20 14:26:45,,NaN,25.5 ms,1.43 ms,1.50 s,1.53 s
2025-11-20 14:27:00,,NaN,24.2 ms,1.45 ms,1.73 s,1.70 s
2025-11-20 14:27:15,,NaN,25.7 ms,1.49 ms,1.82 s,1.74 s
2025-11-20 14:27:30,,NaN,25.6 ms,1.47 ms,1.88 s,1.80 s
2025-11-20 14:27:45,,NaN,26.2 ms,1.43 ms,1.93 s,1.85 s
2025-11-20 14:28:00,,NaN,25.3 ms,1.53 ms,2.02 s,1.93 s
2025-11-20 14:28:15,,NaN,25.2 ms,1.69 ms,2.07 s,1.97 s
2025-11-20 14:28:30,,NaN,24.9 ms,1.99 ms,2.12 s,2.02 s
2025-11-20 14:28:45,2.25 s,NaN,26.7 ms,2.28 ms,2.11 s,2.07 s
2025-11-20 14:29:00,2.24 s,NaN,29.3 ms,2.57 ms,2.09 s,2.10 s
2025-11-20 14:29:15,2.24 s,NaN,29.9 ms,2.57 ms,2.10 s,2.10 s
2025-11-20 14:29:30,2.23 s,NaN,36.2 ms,2.47 ms,2.14 s,2.08 s
2025-11-20 14:29:45,2.25 s,NaN,35.4 ms,2.43 ms,2.14 s,2.08 s
2025-11-20 14:30:00,2.24 s,NaN,41.3 ms,2.68 ms,2.10 s,2.10 s
2025-11-20 14:30:15,2.24 s,NaN,33.5 ms,2.69 ms,2.10 s,2.10 s
2025-11-20 14:30:30,2.23 s,NaN,35.7 ms,2.56 ms,2.13 s,2.09 s
2025-11-20 14:30:45,2.24 s,NaN,29.4 ms,2.27 ms,2.14 s,2.08 s
2025-11-20 14:31:00,2.24 s,NaN,28.7 ms,2.39 ms,2.14 s,2.09 s
2025-11-20 14:31:15,2.24 s,NaN,29.3 ms,2.52 ms,2.14 s,2.09 s
2025-11-20 14:31:30,2.23 s,NaN,29.1 ms,2.55 ms,2.17 s,2.08 s
2025-11-20 14:31:45,NaN,NaN,29.7 ms,2.44 ms,2.17 s,2.07 s
2025-11-20 14:32:00,2.31 s,NaN,26.7 ms,2.78 ms,2.16 s,2.07 s
2025-11-20 14:32:15,2.24 s,NaN,34.4 ms,2.65 ms,2.12 s,2.08 s
2025-11-20 14:32:30,2.24 s,NaN,36.5 ms,2.49 ms,1.99 s,1.99 s
2025-11-20 14:32:45,2.23 s,NaN,36.7 ms,1.67 ms,1.52 s,1.67 s
2025-11-20 14:33:00,2.21 s,NaN,30.9 ms,1.60 ms,1.26 s,1.34 s
2025-11-20 14:33:15,NaN,NaN,28.5 ms,1.52 ms,506 ms,588 ms
