"Time","CPU %"
2025-11-20 14:25:00,1.59%
2025-11-20 14:25:15,1.16%
2025-11-20 14:25:30,2.02%
2025-11-20 14:25:45,1.86%
2025-11-20 14:26:00,3.28%
2025-11-20 14:26:15,3.45%
2025-11-20 14:26:30,2.53%
2025-11-20 14:26:45,3.19%
2025-11-20 14:27:00,4.46%
2025-11-20 14:27:15,4.77%
2025-11-20 14:27:30,3.83%
2025-11-20 14:27:45,5.27%
2025-11-20 14:28:00,4.07%
2025-11-20 14:28:15,5.21%
2025-11-20 14:28:30,7.77%
2025-11-20 14:28:45,1.94%
2025-11-20 14:29:00,5.11%
2025-11-20 14:29:15,3.90%
2025-11-20 14:29:30,5.57%
2025-11-20 14:29:45,8.70%
2025-11-20 14:30:00,5.16%
2025-11-20 14:30:15,6.77%
2025-11-20 14:30:30,6.83%
2025-11-20 14:30:45,4.04%
2025-11-20 14:31:00,2.83%
2025-11-20 14:31:15,5.48%
2025-11-20 14:31:30,3.82%
2025-11-20 14:31:45,4.96%
2025-11-20 14:32:00,9.12%
2025-11-20 14:32:15,6.56%
2025-11-20 14:32:30,3.14%
2025-11-20 14:32:45,0.505%
2025-11-20 14:33:00,0.341%
2025-11-20 14:33:15,1.01%
