"Time","heap - G1 Eden Space","heap - G1 Old Gen","heap - G1 Survivor Space","nonheap - CodeCache","nonheap - Compressed Class Space","nonheap - Metaspace"
2025-11-20 14:25:00,62 MiB,70.8 MiB,8 MiB,20.8 MiB,15.5 MiB,107 MiB
2025-11-20 14:25:15,28 MiB,65.3 MiB,5.81 MiB,22.3 MiB,15.5 MiB,107 MiB
2025-11-20 14:25:30,54 MiB,61.8 MiB,6.96 MiB,20.7 MiB,15.5 MiB,107 MiB
2025-11-20 14:25:45,34 MiB,64.9 MiB,6.29 MiB,17.5 MiB,15.5 MiB,107 MiB
2025-11-20 14:26:00,18 MiB,67.3 MiB,6.63 MiB,16.3 MiB,15.5 MiB,107 MiB
2025-11-20 14:26:15,8 MiB,73.3 MiB,3.30 MiB,16.7 MiB,15.5 MiB,107 MiB
2025-11-20 14:26:30,68 MiB,75.6 MiB,5.72 MiB,16.9 MiB,15.5 MiB,107 MiB
2025-11-20 14:26:45,38 MiB,80.7 MiB,5.91 MiB,15.7 MiB,15.5 MiB,107 MiB
2025-11-20 14:27:00,6 MiB,84.9 MiB,5.24 MiB,16.0 MiB,15.5 MiB,107 MiB
2025-11-20 14:27:15,38 MiB,102 MiB,7.53 MiB,16.1 MiB,15.5 MiB,107 MiB
2025-11-20 14:27:30,42.0 MiB,94.2 MiB,6.50 MiB,16.2 MiB,15.5 MiB,107 MiB
2025-11-20 14:27:45,32 MiB,99.1 MiB,7.49 MiB,16.2 MiB,15.5 MiB,107 MiB
2025-11-20 14:28:00,54 MiB,105 MiB,6.94 MiB,16.9 MiB,15.5 MiB,107 MiB
2025-11-20 14:28:15,72.0 MiB,107 MiB,7.29 MiB,18.1 MiB,15.5 MiB,107 MiB
2025-11-20 14:28:30,80 MiB,106 MiB,7.09 MiB,17.0 MiB,15.5 MiB,107 MiB
2025-11-20 14:28:45,120 MiB,115 MiB,12 MiB,16.7 MiB,15.5 MiB,107 MiB
2025-11-20 14:29:00,52 MiB,111 MiB,12 MiB,16.6 MiB,15.5 MiB,107 MiB
2025-11-20 14:29:15,2 MiB,111 MiB,9.02 MiB,16.6 MiB,15.5 MiB,107 MiB
2025-11-20 14:29:30,68 MiB,112 MiB,11.5 MiB,16.6 MiB,15.5 MiB,107 MiB
2025-11-20 14:29:45,54 MiB,117 MiB,11.3 MiB,16.7 MiB,15.5 MiB,107 MiB
2025-11-20 14:30:00,48 MiB,123 MiB,12.0 MiB,17.9 MiB,15.5 MiB,107 MiB
2025-11-20 14:30:15,20 MiB,118 MiB,8.71 MiB,16.2 MiB,15.5 MiB,107 MiB
2025-11-20 14:30:30,100 MiB,117 MiB,11.4 MiB,16.2 MiB,15.5 MiB,107 MiB
2025-11-20 14:30:45,18 MiB,123 MiB,12.5 MiB,16.2 MiB,15.5 MiB,107 MiB
2025-11-20 14:31:00,20 MiB,127 MiB,6.26 MiB,16.3 MiB,15.5 MiB,107 MiB
2025-11-20 14:31:15,90 MiB,121 MiB,8.76 MiB,16.3 MiB,15.5 MiB,107 MiB
2025-11-20 14:31:30,100 MiB,120 MiB,10.2 MiB,16.3 MiB,15.5 MiB,107 MiB
2025-11-20 14:31:45,116 MiB,119 MiB,8.85 MiB,16.4 MiB,15.5 MiB,107 MiB
2025-11-20 14:32:00,82 MiB,123 MiB,8.95 MiB,16.4 MiB,15.5 MiB,107 MiB
2025-11-20 14:32:15,112 MiB,123 MiB,9.29 MiB,16.4 MiB,15.5 MiB,107 MiB
2025-11-20 14:32:30,28 MiB,124 MiB,5.66 MiB,16.4 MiB,15.5 MiB,107 MiB
2025-11-20 14:32:45,40 MiB,119 MiB,4.20 MiB,16.4 MiB,15.5 MiB,107 MiB
2025-11-20 14:33:00,46 MiB,119 MiB,4.20 MiB,16.4 MiB,15.5 MiB,107 MiB
2025-11-20 14:33:15,52 MiB,119 MiB,4.20 MiB,16.4 MiB,15.5 MiB,107 MiB
