"Time","200","500"
2025-11-20 14:25:00,0.0667 req/s,
2025-11-20 14:25:15,16.3 req/s,
2025-11-20 14:25:30,32.3 req/s,
2025-11-20 14:25:45,50.7 req/s,
2025-11-20 14:26:00,65.3 req/s,
2025-11-20 14:26:15,57.3 req/s,
2025-11-20 14:26:30,59.4 req/s,
2025-11-20 14:26:45,64.6 req/s,
2025-11-20 14:27:00,83.2 req/s,
2025-11-20 14:27:15,89.6 req/s,
2025-11-20 14:27:30,98.0 req/s,
2025-11-20 14:27:45,106 req/s,
2025-11-20 14:28:00,115 req/s,
2025-11-20 14:28:15,123 req/s,
2025-11-20 14:28:30,130 req/s,
2025-11-20 14:28:45,121 req/s,14.5 req/s
2025-11-20 14:29:00,112 req/s,22.4 req/s
2025-11-20 14:29:15,111 req/s,20.9 req/s
2025-11-20 14:29:30,125 req/s,10.9 req/s
2025-11-20 14:29:45,124 req/s,11.3 req/s
2025-11-20 14:30:00,110 req/s,23.1 req/s
2025-11-20 14:30:15,109 req/s,24.6 req/s
2025-11-20 14:30:30,117 req/s,13.3 req/s
2025-11-20 14:30:45,122 req/s,10.8 req/s
2025-11-20 14:31:00,121 req/s,11.8 req/s
2025-11-20 14:31:15,122 req/s,11.8 req/s
2025-11-20 14:31:30,130 req/s,2.51 req/s
2025-11-20 14:31:45,131 req/s,0 req/s
2025-11-20 14:32:00,129 req/s,1.76 req/s
2025-11-20 14:32:15,114 req/s,12.2 req/s
2025-11-20 14:32:30,97.5 req/s,14.9 req/s
2025-11-20 14:32:45,72.8 req/s,13.2 req/s
2025-11-20 14:33:00,43.1 req/s,2.78 req/s
2025-11-20 14:33:15,16.2 req/s,0 req/s
