"Time","CPU %"
2025-11-20 23:53:00,0.179%
2025-11-20 23:53:15,5.12%
2025-11-20 23:53:30,0.512%
2025-11-20 23:53:45,1.67%
2025-11-20 23:54:00,1.21%
2025-11-20 23:54:15,2.30%
2025-11-20 23:54:30,2.82%
2025-11-20 23:54:45,1.79%
2025-11-20 23:55:00,2.30%
2025-11-20 23:55:15,2.42%
2025-11-20 23:55:30,1.90%
2025-11-20 23:55:45,1.98%
2025-11-20 23:56:00,2.29%
2025-11-20 23:56:15,6.51%
2025-11-20 23:56:30,6.82%
2025-11-20 23:56:45,5.93%
2025-11-20 23:57:00,6.56%
2025-11-20 23:57:15,7.63%
2025-11-20 23:57:30,5.59%
2025-11-20 23:57:45,7.52%
2025-11-20 23:58:00,4.97%
2025-11-20 23:58:15,4.24%
2025-11-20 23:58:30,8.44%
2025-11-20 23:58:45,1.30%
2025-11-20 23:59:00,6.75%
2025-11-20 23:59:15,3.62%
2025-11-20 23:59:30,6.95%
2025-11-20 23:59:45,7.48%
2025-11-21 00:00:00,6.72%
2025-11-21 00:00:15,3.35%
2025-11-21 00:00:30,7.23%
2025-11-21 00:00:45,6.92%
2025-11-21 00:01:00,4.71%
2025-11-21 00:01:15,1.15%
2025-11-21 00:01:30,0.793%
