"Time","heap - G1 Eden Space","heap - G1 Old Gen","heap - G1 Survivor Space","nonheap - CodeCache","nonheap - Compressed Class Space","nonheap - Metaspace"
2025-11-20 23:53:00,72 MiB,68.9 MiB,6.68 MiB,16.4 MiB,14.8 MiB,101 MiB
2025-11-20 23:53:15,58 MiB,69.3 MiB,6.95 MiB,19.2 MiB,15.2 MiB,104 MiB
2025-11-20 23:53:30,62 MiB,69.3 MiB,6.95 MiB,18.2 MiB,15.2 MiB,104 MiB
2025-11-20 23:53:45,34 MiB,70.5 MiB,9.43 MiB,21.5 MiB,15.8 MiB,109 MiB
2025-11-20 23:54:00,28 MiB,75.6 MiB,5.53 MiB,24.6 MiB,15.8 MiB,109 MiB
2025-11-20 23:54:15,38 MiB,62.3 MiB,6.83 MiB,19.3 MiB,15.8 MiB,109 MiB
2025-11-20 23:54:30,80 MiB,63.3 MiB,5.81 MiB,16.1 MiB,15.8 MiB,109 MiB
2025-11-20 23:54:45,60 MiB,66 MiB,7.10 MiB,17.1 MiB,15.8 MiB,109 MiB
2025-11-20 23:55:00,10 MiB,70.9 MiB,6 MiB,15.6 MiB,15.8 MiB,109 MiB
2025-11-20 23:55:15,46 MiB,74.9 MiB,5.34 MiB,15.4 MiB,15.8 MiB,109 MiB
2025-11-20 23:55:30,40 MiB,76.8 MiB,6.61 MiB,15.4 MiB,15.8 MiB,109 MiB
2025-11-20 23:55:45,42 MiB,81.4 MiB,7.21 MiB,15.8 MiB,15.8 MiB,109 MiB
2025-11-20 23:56:00,22 MiB,85.3 MiB,5.64 MiB,15.9 MiB,15.8 MiB,109 MiB
2025-11-20 23:56:15,48 MiB,89.0 MiB,8.13 MiB,16.0 MiB,15.8 MiB,109 MiB
2025-11-20 23:56:30,30.0 MiB,100 MiB,6.79 MiB,16.0 MiB,15.8 MiB,109 MiB
2025-11-20 23:56:45,26 MiB,108 MiB,6.48 MiB,16.8 MiB,15.8 MiB,109 MiB
2025-11-20 23:57:00,42 MiB,107 MiB,6.76 MiB,17.9 MiB,15.8 MiB,109 MiB
2025-11-20 23:57:15,8 MiB,111 MiB,9.99 MiB,17.9 MiB,15.8 MiB,109 MiB
2025-11-20 23:57:30,64 MiB,112 MiB,11.1 MiB,16.0 MiB,15.8 MiB,109 MiB
2025-11-20 23:57:45,98 MiB,108 MiB,10.5 MiB,16.2 MiB,15.8 MiB,109 MiB
2025-11-20 23:58:00,94.0 MiB,108 MiB,9.03 MiB,16.2 MiB,15.8 MiB,109 MiB
2025-11-20 23:58:15,34 MiB,110 MiB,11.0 MiB,16.2 MiB,15.8 MiB,109 MiB
2025-11-20 23:58:30,12 MiB,116 MiB,11.9 MiB,16.2 MiB,15.8 MiB,109 MiB
2025-11-20 23:58:45,66 MiB,114 MiB,13.7 MiB,16.3 MiB,15.8 MiB,109 MiB
2025-11-20 23:59:00,122 MiB,115 MiB,10.3 MiB,16.4 MiB,15.8 MiB,109 MiB
2025-11-20 23:59:15,102 MiB,113 MiB,12.8 MiB,16.4 MiB,15.8 MiB,109 MiB
2025-11-20 23:59:30,128 MiB,117 MiB,14 MiB,16.2 MiB,15.8 MiB,109 MiB
2025-11-20 23:59:45,44 MiB,118 MiB,12.0 MiB,16.9 MiB,15.8 MiB,109 MiB
2025-11-21 00:00:00,92 MiB,120 MiB,13.0 MiB,16.3 MiB,15.8 MiB,109 MiB
2025-11-21 00:00:15,94 MiB,121 MiB,12.1 MiB,16.3 MiB,15.8 MiB,109 MiB
2025-11-21 00:00:30,98 MiB,122 MiB,12.3 MiB,16.3 MiB,15.8 MiB,109 MiB
2025-11-21 00:00:45,48 MiB,124 MiB,11.4 MiB,16.4 MiB,15.8 MiB,109 MiB
2025-11-21 00:01:00,38 MiB,124 MiB,9.54 MiB,16.4 MiB,15.8 MiB,109 MiB
2025-11-21 00:01:15,52 MiB,125 MiB,7.61 MiB,17.6 MiB,15.8 MiB,109 MiB
2025-11-21 00:01:30,14 MiB,120 MiB,5.28 MiB,16.5 MiB,15.8 MiB,109 MiB
