"Time","GET /api/v1/market/price/{symbol} 500","GET /actuator/health 200","GET /actuator/prometheus 200","GET /api/v1/auth/perf/stats 200","GET /api/v1/auth/perf/tokens 200","GET /api/v1/crypto/price/{symbol} 200","GET /api/v1/market/price/{symbol} 200","GET /api/v1/market/search 200"
2025-11-20 23:53:00,,,10 req/s,,,,,
2025-11-20 23:53:15,,,11 req/s,1 req/s,1 req/s,,,
2025-11-20 23:53:30,,,12 req/s,1 req/s,1 req/s,,,
2025-11-20 23:53:45,,1 req/s,13 req/s,1 req/s,1 req/s,33 req/s,81 req/s,23 req/s
2025-11-20 23:54:00,,1 req/s,14 req/s,1 req/s,1 req/s,183 req/s,374 req/s,78 req/s
2025-11-20 23:54:15,,1 req/s,15 req/s,1 req/s,1 req/s,403 req/s,881 req/s,161 req/s
2025-11-20 23:54:30,,1 req/s,16 req/s,1 req/s,1 req/s,735 req/s,1.51K req/s,280 req/s
2025-11-20 23:54:45,,1 req/s,17 req/s,1 req/s,1 req/s,1.07K req/s,2.19K req/s,405 req/s
2025-11-20 23:55:00,,1 req/s,18 req/s,1 req/s,1 req/s,1.39K req/s,2.79K req/s,506 req/s
2025-11-20 23:55:15,,1 req/s,19 req/s,1 req/s,1 req/s,1.74K req/s,3.44K req/s,625 req/s
2025-11-20 23:55:30,,1 req/s,20 req/s,1 req/s,1 req/s,2.11K req/s,4.19K req/s,734 req/s
2025-11-20 23:55:45,,1 req/s,21 req/s,1 req/s,1 req/s,2.52K req/s,5.00K req/s,863 req/s
2025-11-20 23:56:00,,1 req/s,22 req/s,1 req/s,1 req/s,2.99K req/s,5.86K req/s,1.02K req/s
2025-11-20 23:56:15,,1 req/s,23 req/s,1 req/s,1 req/s,3.52K req/s,6.86K req/s,1.20K req/s
2025-11-20 23:56:30,,1 req/s,24 req/s,1 req/s,1 req/s,4.03K req/s,7.85K req/s,1.37K req/s
2025-11-20 23:56:45,,1 req/s,25 req/s,1 req/s,1 req/s,4.57K req/s,9.00K req/s,1.57K req/s
2025-11-20 23:57:00,,1 req/s,26 req/s,1 req/s,1 req/s,5.13K req/s,10.2K req/s,1.75K req/s
2025-11-20 23:57:15,71 req/s,1 req/s,27 req/s,1 req/s,1 req/s,5.74K req/s,11.3K req/s,1.92K req/s
2025-11-20 23:57:30,649 req/s,1 req/s,28 req/s,1 req/s,1 req/s,6.35K req/s,12.0K req/s,2.12K req/s
2025-11-20 23:57:45,1.13K req/s,1 req/s,29 req/s,1 req/s,1 req/s,6.97K req/s,12.7K req/s,2.32K req/s
2025-11-20 23:58:00,1.13K req/s,1 req/s,30 req/s,1 req/s,1 req/s,7.54K req/s,13.9K req/s,2.55K req/s
2025-11-20 23:58:15,1.13K req/s,1 req/s,31 req/s,1 req/s,1 req/s,8.18K req/s,15.1K req/s,2.75K req/s
2025-11-20 23:58:30,1.65K req/s,1 req/s,32 req/s,1 req/s,1 req/s,8.71K req/s,15.8K req/s,2.97K req/s
2025-11-20 23:58:45,2.21K req/s,1 req/s,33 req/s,1 req/s,1 req/s,9.43K req/s,16.5K req/s,3.14K req/s
2025-11-20 23:59:00,2.21K req/s,1 req/s,34 req/s,1 req/s,1 req/s,10.1K req/s,17.7K req/s,3.35K req/s
2025-11-20 23:59:15,2.21K req/s,1 req/s,35 req/s,1 req/s,1 req/s,10.7K req/s,18.9K req/s,3.58K req/s
2025-11-20 23:59:30,2.65K req/s,1 req/s,36 req/s,1 req/s,1 req/s,11.2K req/s,19.7K req/s,3.77K req/s
2025-11-20 23:59:45,3.19K req/s,1 req/s,37 req/s,1 req/s,1 req/s,11.8K req/s,20.3K req/s,3.97K req/s
2025-11-21 00:00:00,3.28K req/s,1 req/s,38 req/s,1 req/s,1 req/s,12.4K req/s,21.4K req/s,4.18K req/s
2025-11-21 00:00:15,3.28K req/s,1 req/s,39 req/s,1 req/s,1 req/s,13.0K req/s,22.6K req/s,4.39K req/s
2025-11-21 00:00:30,3.62K req/s,1 req/s,40 req/s,1 req/s,1 req/s,13.6K req/s,23.5K req/s,4.61K req/s
2025-11-21 00:00:45,3.80K req/s,1 req/s,41 req/s,1 req/s,1 req/s,14.1K req/s,24.4K req/s,4.79K req/s
2025-11-21 00:01:00,3.80K req/s,1 req/s,42 req/s,1 req/s,1 req/s,14.7K req/s,25.5K req/s,4.98K req/s
2025-11-21 00:01:15,3.80K req/s,1 req/s,43 req/s,1 req/s,1 req/s,15.1K req/s,26.4K req/s,5.13K req/s
2025-11-21 00:01:30,3.80K req/s,1 req/s,44 req/s,1 req/s,1 req/s,15.3K req/s,26.9K req/s,5.21K req/s
