"Time","/actuator/health","/actuator/prometheus","/api/v1/crypto/price/{symbol}","/api/v1/market/price/{symbol}","/api/v1/market/search"
2025-11-21 00:07:00,,33 ms,,,
2025-11-21 00:07:15,,33 ms,,,
2025-11-21 00:07:30,,33 ms,,,
2025-11-21 00:07:45,,33 ms,,,
2025-11-21 00:08:00,NaN,33 ms,4 ms,195 ms,289 ms
2025-11-21 00:08:15,NaN,33 ms,3 ms,107 ms,244 ms
2025-11-21 00:08:30,NaN,33 ms,3 ms,40 ms,175 ms
2025-11-21 00:08:45,NaN,33 ms,3 ms,5 ms,160 ms
2025-11-21 00:09:00,NaN,33 ms,2 ms,4 ms,113 ms
2025-11-21 00:09:15,NaN,28 ms,3 ms,4 ms,165 ms
2025-11-21 00:09:30,NaN,28 ms,2 ms,4 ms,192 ms
2025-11-21 00:09:45,NaN,28 ms,2 ms,4 ms,182 ms
2025-11-21 00:10:00,NaN,28 ms,2 ms,4 ms,172 ms
2025-11-21 00:10:15,NaN,28 ms,2 ms,4 ms,164 ms
2025-11-21 00:10:30,NaN,28 ms,2 ms,4 ms,168 ms
2025-11-21 00:10:45,NaN,28 ms,3 ms,4 ms,200 ms
2025-11-21 00:11:00,NaN,28 ms,3 ms,5 ms,252 ms
2025-11-21 00:11:15,NaN,28 ms,3 ms,8 ms,264 ms
2025-11-21 00:11:30,NaN,28 ms,3 ms,7 ms,269 ms
2025-11-21 00:11:45,NaN,33 ms,3 ms,7 ms,259 ms
2025-11-21 00:12:00,NaN,33 ms,4 ms,6 ms,258 ms
2025-11-21 00:12:15,NaN,33 ms,4 ms,7 ms,258 ms
2025-11-21 00:12:30,NaN,28 ms,3 ms,6 ms,265 ms
2025-11-21 00:12:45,NaN,28 ms,3 ms,6 ms,299 ms
2025-11-21 00:13:00,NaN,28 ms,3 ms,6 ms,292 ms
2025-11-21 00:13:15,NaN,28 ms,4 ms,7 ms,294 ms
2025-11-21 00:13:30,NaN,28 ms,4 ms,7 ms,261 ms
2025-11-21 00:13:45,NaN,28 ms,4 ms,6 ms,264 ms
2025-11-21 00:14:00,NaN,49 ms,4 ms,6 ms,325 ms
2025-11-21 00:14:15,NaN,49 ms,4 ms,6 ms,344 ms
2025-11-21 00:14:30,NaN,49 ms,4 ms,7 ms,353 ms
2025-11-21 00:14:45,NaN,28 ms,4 ms,6 ms,319 ms
2025-11-21 00:15:00,NaN,28 ms,3 ms,6 ms,291 ms
2025-11-21 00:15:15,NaN,28 ms,3 ms,5 ms,252 ms
2025-11-21 00:15:30,NaN,28 ms,3 ms,5 ms,209 ms
