"Time","GET /actuator/health","GET /actuator/prometheus","GET /api/v1/crypto/price/{symbol}","GET /api/v1/market/price/{symbol}","GET /api/v1/market/search"
2025-11-21 00:07:00,,27.7 ms,,,
2025-11-21 00:07:15,,28.0 ms,,,
2025-11-21 00:07:30,,28.1 ms,,,
2025-11-21 00:07:45,,27.4 ms,,,
2025-11-21 00:08:00,NaN,28.2 ms,1.99 ms,20.4 ms,81.8 ms
2025-11-21 00:08:15,NaN,27.7 ms,1.73 ms,15.7 ms,85.9 ms
2025-11-21 00:08:30,NaN,28.6 ms,1.65 ms,14.8 ms,85.0 ms
2025-11-21 00:08:45,NaN,26.5 ms,1.55 ms,9.75 ms,77.5 ms
2025-11-21 00:09:00,NaN,27.1 ms,1.47 ms,9.34 ms,76.7 ms
2025-11-21 00:09:15,NaN,25.7 ms,1.48 ms,9.63 ms,79.1 ms
2025-11-21 00:09:30,NaN,26.0 ms,1.38 ms,10.9 ms,81.0 ms
2025-11-21 00:09:45,NaN,26.0 ms,1.43 ms,10.8 ms,82.5 ms
2025-11-21 00:10:00,NaN,25.4 ms,1.40 ms,11.1 ms,81.6 ms
2025-11-21 00:10:15,NaN,25.9 ms,1.39 ms,10.3 ms,80.8 ms
2025-11-21 00:10:30,NaN,25.9 ms,1.37 ms,10.00 ms,80.8 ms
2025-11-21 00:10:45,NaN,25.7 ms,1.45 ms,9.86 ms,84.8 ms
2025-11-21 00:11:00,NaN,25.5 ms,1.50 ms,9.56 ms,91.5 ms
2025-11-21 00:11:15,NaN,24.6 ms,1.54 ms,11.6 ms,94.6 ms
2025-11-21 00:11:30,NaN,25.1 ms,1.51 ms,10.5 ms,99.1 ms
2025-11-21 00:11:45,NaN,27.3 ms,1.56 ms,11.0 ms,96.7 ms
2025-11-21 00:12:00,NaN,28.0 ms,1.58 ms,9.12 ms,99.1 ms
2025-11-21 00:12:15,NaN,28.3 ms,1.59 ms,10.9 ms,101 ms
2025-11-21 00:12:30,NaN,25.2 ms,1.53 ms,9.91 ms,107 ms
2025-11-21 00:12:45,NaN,24.7 ms,1.54 ms,9.55 ms,119 ms
2025-11-21 00:13:00,NaN,23.9 ms,1.53 ms,9.09 ms,120 ms
2025-11-21 00:13:15,NaN,25.6 ms,1.62 ms,9.19 ms,120 ms
2025-11-21 00:13:30,NaN,25.5 ms,1.58 ms,9.41 ms,108 ms
2025-11-21 00:13:45,NaN,25.6 ms,1.61 ms,9.24 ms,108 ms
2025-11-21 00:14:00,NaN,32.6 ms,1.57 ms,10.6 ms,124 ms
2025-11-21 00:14:15,NaN,32.7 ms,1.58 ms,10.9 ms,135 ms
2025-11-21 00:14:30,NaN,33.4 ms,1.61 ms,10.0 ms,140 ms
2025-11-21 00:14:45,NaN,26.3 ms,1.58 ms,8.73 ms,124 ms
2025-11-21 00:15:00,NaN,26.2 ms,1.55 ms,8.33 ms,112 ms
2025-11-21 00:15:15,NaN,24.4 ms,1.46 ms,8.83 ms,100 ms
2025-11-21 00:15:30,NaN,24.2 ms,1.42 ms,9.56 ms,91.1 ms
