"Time","CPU %"
2025-11-21 00:07:00,0.708%
2025-11-21 00:07:15,0.383%
2025-11-21 00:07:30,0.307%
2025-11-21 00:07:45,1.39%
2025-11-21 00:08:00,0.637%
2025-11-21 00:08:15,1.46%
2025-11-21 00:08:30,2.53%
2025-11-21 00:08:45,1.17%
2025-11-21 00:09:00,2.08%
2025-11-21 00:09:15,1.66%
2025-11-21 00:09:30,3.20%
2025-11-21 00:09:45,2.78%
2025-11-21 00:10:00,4.16%
2025-11-21 00:10:15,4.18%
2025-11-21 00:10:30,3.04%
2025-11-21 00:10:45,4.06%
2025-11-21 00:11:00,6.23%
2025-11-21 00:11:15,4.38%
2025-11-21 00:11:30,6.94%
2025-11-21 00:11:45,3.94%
2025-11-21 00:12:00,6.06%
2025-11-21 00:12:15,6.58%
2025-11-21 00:12:30,6.57%
2025-11-21 00:12:45,4.12%
2025-11-21 00:13:00,5.13%
2025-11-21 00:13:15,6.71%
2025-11-21 00:13:30,4.59%
2025-11-21 00:13:45,6.70%
2025-11-21 00:14:00,4.15%
2025-11-21 00:14:15,5.59%
2025-11-21 00:14:30,4.95%
2025-11-21 00:14:45,7.23%
2025-11-21 00:15:00,3.44%
2025-11-21 00:15:15,2.87%
2025-11-21 00:15:30,0.634%
