"Time","heap - G1 Eden Space","heap - G1 Old Gen","heap - G1 Survivor Space","nonheap - CodeCache","nonheap - Compressed Class Space","nonheap - Metaspace"
2025-11-21 00:07:00,36 MiB,68.3 MiB,7.62 MiB,16.4 MiB,14.8 MiB,101 MiB
2025-11-21 00:07:15,42 MiB,68.3 MiB,7.62 MiB,16.5 MiB,14.8 MiB,101 MiB
2025-11-21 00:07:30,46 MiB,68.3 MiB,7.62 MiB,16.6 MiB,14.8 MiB,101 MiB
2025-11-21 00:07:45,28 MiB,71.3 MiB,7.86 MiB,20.6 MiB,15.5 MiB,107 MiB
2025-11-21 00:08:00,60 MiB,75.9 MiB,4.14 MiB,21.8 MiB,15.5 MiB,107 MiB
2025-11-21 00:08:15,18 MiB,63.1 MiB,4.95 MiB,17.0 MiB,15.5 MiB,107 MiB
2025-11-21 00:08:30,54 MiB,61.9 MiB,5.85 MiB,17.6 MiB,15.5 MiB,107 MiB
2025-11-21 00:08:45,22 MiB,62.7 MiB,3.79 MiB,14.9 MiB,15.5 MiB,107 MiB
2025-11-21 00:09:00,64 MiB,63.0 MiB,2.41 MiB,14.6 MiB,15.5 MiB,107 MiB
2025-11-21 00:09:15,34 MiB,63.5 MiB,2.18 MiB,13.6 MiB,15.5 MiB,107 MiB
2025-11-21 00:09:30,36 MiB,63.8 MiB,1.95 MiB,14.9 MiB,15.5 MiB,107 MiB
2025-11-21 00:09:45,24 MiB,64.2 MiB,1.24 MiB,14.0 MiB,15.5 MiB,107 MiB
2025-11-21 00:10:00,66 MiB,64.7 MiB,2.65 MiB,14.0 MiB,15.5 MiB,107 MiB
2025-11-21 00:10:15,108 MiB,66.0 MiB,1.52 MiB,14.1 MiB,15.5 MiB,107 MiB
2025-11-21 00:10:30,6 MiB,66.8 MiB,1.60 MiB,14.4 MiB,15.5 MiB,107 MiB
2025-11-21 00:10:45,112 MiB,67.3 MiB,1.50 MiB,14.8 MiB,15.5 MiB,107 MiB
2025-11-21 00:11:00,114 MiB,68.0 MiB,2.89 MiB,16.3 MiB,15.5 MiB,107 MiB
2025-11-21 00:11:15,104 MiB,69.3 MiB,4.59 MiB,15.8 MiB,15.5 MiB,107 MiB
2025-11-21 00:11:30,22 MiB,72.3 MiB,2.28 MiB,16.0 MiB,15.5 MiB,107 MiB
2025-11-21 00:11:45,48 MiB,73.2 MiB,1.89 MiB,16.6 MiB,15.5 MiB,107 MiB
2025-11-21 00:12:00,50 MiB,74.1 MiB,1.73 MiB,16.7 MiB,15.5 MiB,107 MiB
2025-11-21 00:12:15,18 MiB,75.1 MiB,1.78 MiB,18.0 MiB,15.5 MiB,107 MiB
2025-11-21 00:12:30,110 MiB,76.1 MiB,2.50 MiB,17.5 MiB,15.5 MiB,107 MiB
2025-11-21 00:12:45,34 MiB,77.1 MiB,1.26 MiB,17.1 MiB,15.5 MiB,107 MiB
2025-11-21 00:13:00,128 MiB,77.8 MiB,1.15 MiB,17.1 MiB,15.5 MiB,107 MiB
2025-11-21 00:13:15,102 MiB,78.4 MiB,1.37 MiB,17.2 MiB,15.5 MiB,107 MiB
2025-11-21 00:13:30,48 MiB,78.9 MiB,1.21 MiB,17.2 MiB,15.5 MiB,107 MiB
2025-11-21 00:13:45,18 MiB,79.4 MiB,1.22 MiB,17.3 MiB,15.5 MiB,107 MiB
2025-11-21 00:14:00,132 MiB,79.9 MiB,1.36 MiB,17.3 MiB,15.5 MiB,107 MiB
2025-11-21 00:14:15,110 MiB,80.5 MiB,1.32 MiB,17.3 MiB,15.5 MiB,107 MiB
2025-11-21 00:14:30,74 MiB,81.1 MiB,1.77 MiB,17.4 MiB,15.5 MiB,107 MiB
2025-11-21 00:14:45,134 MiB,81.5 MiB,1015 KiB,17.5 MiB,15.5 MiB,107 MiB
2025-11-21 00:15:00,62 MiB,81.0 MiB,1.01 MiB,18.0 MiB,15.5 MiB,107 MiB
2025-11-21 00:15:15,30.0 MiB,79.7 MiB,1015 KiB,17.5 MiB,15.5 MiB,107 MiB
2025-11-21 00:15:30,48 MiB,79.1 MiB,1.05 MiB,17.5 MiB,15.5 MiB,107 MiB
