"Time","CPU %"
2025-12-09 16:05:00,1.96%
2025-12-09 16:05:15,0.721%
2025-12-09 16:05:30,1.16%
2025-12-09 16:05:45,0.599%
2025-12-09 16:06:00,0.599%
2025-12-09 16:06:15,0.608%
2025-12-09 16:06:30,0.564%
2025-12-09 16:06:45,0.851%
2025-12-09 16:07:00,0.712%
2025-12-09 16:07:15,0.590%
2025-12-09 16:07:30,0.712%
2025-12-09 16:07:45,0.695%
2025-12-09 16:08:00,0.564%
2025-12-09 16:08:15,0.920%
2025-12-09 16:08:30,0.642%
2025-12-09 16:08:45,0.738%
2025-12-09 16:09:00,0.564%
2025-12-09 16:09:15,0.599%
2025-12-09 16:09:30,1.05%
2025-12-09 16:09:45,0.678%
2025-12-09 16:10:00,0.599%
2025-12-09 16:10:15,0.530%
2025-12-09 16:10:30,0.634%
2025-12-09 16:10:45,1.16%
2025-12-09 16:11:00,0.842%
2025-12-09 16:11:15,0.851%
2025-12-09 16:11:30,0.729%
2025-12-09 16:11:45,1.31%
2025-12-09 16:12:00,0.790%
2025-12-09 16:12:15,0.842%
2025-12-09 16:12:30,0.807%
2025-12-09 16:12:45,1.17%
2025-12-09 16:13:00,0.660%
2025-12-09 16:13:15,0.712%
2025-12-09 16:13:30,0.643%
2025-12-09 16:13:45,0.799%
2025-12-09 16:14:00,1.09%
2025-12-09 16:14:15,1.16%
2025-12-09 16:14:30,1.10%
2025-12-09 16:14:45,0.859%
2025-12-09 16:15:00,0.956%
2025-12-09 16:15:15,1.02%
2025-12-09 16:15:30,0.721%
2025-12-09 16:15:45,0.408%
2025-12-09 16:16:00,0.634%
2025-12-09 16:16:15,0.590%
2025-12-09 16:16:30,0.452%
2025-12-09 16:16:45,0.547%
