"Time","{__name__=""http_server_requests_seconds_count"", application=""sentinel"", environment=""experiment"", error=""IOException"", exception=""IOException"", exported_application=""sentinel-perf"", instance=""192.168.0.58:8080"", job=""sentinel-backend"", method=""GET"", outcome=""SUCCESS"", status=""200"", uri=""/api/v1/crypto/stream/prices""}"
2025-12-09 16:05:30,1
2025-12-09 16:05:45,6
2025-12-09 16:06:00,17
2025-12-09 16:06:15,28
2025-12-09 16:06:30,40
2025-12-09 16:06:45,55
2025-12-09 16:07:00,75
2025-12-09 16:07:15,97
2025-12-09 16:07:30,124
2025-12-09 16:07:45,149
2025-12-09 16:08:00,179
2025-12-09 16:08:15,209
2025-12-09 16:08:30,238
2025-12-09 16:08:45,267
2025-12-09 16:09:00,293
2025-12-09 16:09:15,321
2025-12-09 16:09:30,355
2025-12-09 16:09:45,385
2025-12-09 16:10:00,419
2025-12-09 16:10:15,449
2025-12-09 16:10:30,477
2025-12-09 16:10:45,515
2025-12-09 16:11:00,576
2025-12-09 16:11:15,635
2025-12-09 16:11:30,695
2025-12-09 16:11:45,752
2025-12-09 16:12:00,803
2025-12-09 16:12:15,851
2025-12-09 16:12:30,902
2025-12-09 16:12:45,959
2025-12-09 16:13:00,1010
2025-12-09 16:13:15,1028
2025-12-09 16:13:30,1062
2025-12-09 16:13:45,1127
2025-12-09 16:14:00,1179
2025-12-09 16:14:15,1248
2025-12-09 16:14:30,1312
2025-12-09 16:14:45,1393
2025-12-09 16:15:00,1486
2025-12-09 16:15:15,1558
2025-12-09 16:15:30,1615
2025-12-09 16:15:45,1641
2025-12-09 16:16:00,1707
2025-12-09 16:16:15,1754
2025-12-09 16:16:30,1793
2025-12-09 16:16:45,1857
