"Time","heap - G1 Eden Space","heap - G1 Old Gen","heap - G1 Survivor Space","nonheap - CodeCache","nonheap - Compressed Class Space","nonheap - Metaspace"
2025-12-09 16:03:45,135 MiB,49 MiB,25.5 MiB,16.8 MiB,15.8 MiB,114 MiB
2025-12-09 16:04:00,147 MiB,49 MiB,25.5 MiB,16.7 MiB,16.0 MiB,115 MiB
2025-12-09 16:04:15,157 MiB,49 MiB,25.5 MiB,17.1 MiB,16.0 MiB,115 MiB
2025-12-09 16:04:30,167 MiB,49 MiB,25.5 MiB,17.4 MiB,16.0 MiB,115 MiB
2025-12-09 16:04:45,172 MiB,49 MiB,25.5 MiB,16.9 MiB,16.0 MiB,115 MiB
2025-12-09 16:05:00,96 MiB,293 MiB,35 MiB,20.5 MiB,16.9 MiB,122 MiB
2025-12-09 16:05:15,122 MiB,293 MiB,35 MiB,20.5 MiB,16.9 MiB,122 MiB
2025-12-09 16:05:30,12 MiB,313 MiB,5.49 MiB,21.8 MiB,16.9 MiB,122 MiB
2025-12-09 16:05:45,49 MiB,313 MiB,5.49 MiB,21.8 MiB,16.9 MiB,122 MiB
2025-12-09 16:06:00,91 MiB,313 MiB,5.49 MiB,22.2 MiB,16.9 MiB,122 MiB
2025-12-09 16:06:15,36 MiB,318 MiB,14 MiB,22.5 MiB,16.9 MiB,122 MiB
2025-12-09 16:06:30,84 MiB,318 MiB,14 MiB,24.7 MiB,17.0 MiB,122 MiB
2025-12-09 16:06:45,33 MiB,332 MiB,18 MiB,21.9 MiB,17.0 MiB,122 MiB
2025-12-09 16:07:00,94 MiB,332 MiB,18 MiB,24.0 MiB,17.0 MiB,122 MiB
2025-12-09 16:07:15,17 MiB,351 MiB,21 MiB,22.6 MiB,17.0 MiB,122 MiB
2025-12-09 16:07:30,90 MiB,351 MiB,21 MiB,23.4 MiB,17.0 MiB,122 MiB
2025-12-09 16:07:45,27 MiB,353 MiB,20 MiB,23.0 MiB,17.0 MiB,122 MiB
2025-12-09 16:08:00,106 MiB,353 MiB,20 MiB,23.1 MiB,17.0 MiB,122 MiB
2025-12-09 16:08:15,50 MiB,378 MiB,20 MiB,18.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:08:30,12 MiB,403 MiB,18 MiB,18.2 MiB,16.8 MiB,121 MiB
2025-12-09 16:08:45,98 MiB,403 MiB,18 MiB,18.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:09:00,17 MiB,425 MiB,23 MiB,18.7 MiB,16.8 MiB,121 MiB
2025-12-09 16:09:15,107 MiB,425 MiB,23 MiB,19.3 MiB,16.8 MiB,121 MiB
2025-12-09 16:09:30,63 MiB,459 MiB,21 MiB,18.8 MiB,16.8 MiB,121 MiB
2025-12-09 16:09:45,42 MiB,490 MiB,18 MiB,20.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:10:00,140 MiB,490 MiB,18 MiB,20.7 MiB,16.8 MiB,121 MiB
2025-12-09 16:10:15,41 MiB,518 MiB,28 MiB,19.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:10:30,141 MiB,518 MiB,28 MiB,19.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:10:45,91 MiB,566 MiB,24 MiB,16.8 MiB,16.8 MiB,121 MiB
2025-12-09 16:11:00,100 MiB,600 MiB,20 MiB,15.2 MiB,16.8 MiB,121 MiB
2025-12-09 16:11:15,27 MiB,627 MiB,29 MiB,15.2 MiB,16.8 MiB,121 MiB
2025-12-09 16:11:30,168 MiB,627 MiB,29 MiB,15.2 MiB,16.8 MiB,121 MiB
2025-12-09 16:11:45,114 MiB,667 MiB,28 MiB,15.2 MiB,16.8 MiB,121 MiB
2025-12-09 16:12:00,75 MiB,707 MiB,26 MiB,15.3 MiB,16.8 MiB,121 MiB
2025-12-09 16:12:15,213 MiB,707 MiB,26 MiB,16.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:12:30,108 MiB,750 MiB,35 MiB,15.7 MiB,16.8 MiB,121 MiB
2025-12-09 16:12:45,37 MiB,805 MiB,32 MiB,14.7 MiB,16.8 MiB,121 MiB
2025-12-09 16:13:00,181 MiB,805 MiB,32 MiB,14.8 MiB,16.8 MiB,121 MiB
2025-12-09 16:13:15,99 MiB,859 MiB,29 MiB,14.8 MiB,16.8 MiB,121 MiB
2025-12-09 16:13:30,227 MiB,859 MiB,29 MiB,14.8 MiB,16.8 MiB,121 MiB
2025-12-09 16:13:45,95 MiB,930 MiB,42 MiB,14.9 MiB,16.8 MiB,121 MiB
2025-12-09 16:14:00,2 MiB,999 MiB,37 MiB,14.9 MiB,16.8 MiB,121 MiB
2025-12-09 16:14:15,176 MiB,999 MiB,37 MiB,14.9 MiB,16.8 MiB,121 MiB
2025-12-09 16:14:30,138 MiB,1.03 GiB,32 MiB,15.0 MiB,16.8 MiB,121 MiB
2025-12-09 16:14:45,329 MiB,1.03 GiB,32 MiB,15.0 MiB,16.8 MiB,121 MiB
2025-12-09 16:15:00,193 MiB,1.08 GiB,46 MiB,16.8 MiB,16.8 MiB,121 MiB
2025-12-09 16:15:15,1 MiB,1.13 GiB,46 MiB,14.9 MiB,16.8 MiB,121 MiB
2025-12-09 16:15:30,82 MiB,1.13 GiB,46 MiB,14.9 MiB,16.8 MiB,121 MiB
2025-12-09 16:15:45,120 MiB,1.13 GiB,46 MiB,14.9 MiB,16.8 MiB,121 MiB
2025-12-09 16:16:00,210 MiB,1.13 GiB,46 MiB,15.0 MiB,16.8 MiB,121 MiB
2025-12-09 16:16:15,275 MiB,1.13 GiB,46 MiB,15.0 MiB,16.8 MiB,121 MiB
2025-12-09 16:16:30,23 MiB,1.18 GiB,5.50 MiB,15.0 MiB,16.8 MiB,121 MiB
2025-12-09 16:16:45,111 MiB,1.18 GiB,5.50 MiB,15.0 MiB,16.8 MiB,121 MiB
2025-12-09 16:17:00,226 MiB,1.18 GiB,5.50 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:17:15,376 MiB,1.18 GiB,5.50 MiB,15.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:17:30,467 MiB,1.18 GiB,5.50 MiB,15.2 MiB,16.8 MiB,121 MiB
2025-12-09 16:17:45,50 MiB,1.17 GiB,7.26 MiB,15.3 MiB,16.8 MiB,121 MiB
2025-12-09 16:18:00,150 MiB,1.17 GiB,7.26 MiB,15.3 MiB,16.8 MiB,121 MiB
2025-12-09 16:18:15,195 MiB,1.17 GiB,7.26 MiB,15.4 MiB,16.8 MiB,121 MiB
2025-12-09 16:18:30,272 MiB,1.17 GiB,7.26 MiB,15.4 MiB,16.8 MiB,121 MiB
2025-12-09 16:18:45,350 MiB,1.17 GiB,7.26 MiB,15.4 MiB,16.8 MiB,121 MiB
2025-12-09 16:19:00,406 MiB,1.17 GiB,7.26 MiB,15.4 MiB,16.8 MiB,121 MiB
2025-12-09 16:19:15,472 MiB,1.17 GiB,7.26 MiB,15.4 MiB,16.8 MiB,121 MiB
2025-12-09 16:19:30,595 MiB,1.17 GiB,7.26 MiB,15.5 MiB,16.8 MiB,121 MiB
2025-12-09 16:19:45,114 MiB,1.17 GiB,12.3 MiB,16.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:20:00,283 MiB,1.17 GiB,12.3 MiB,15.5 MiB,16.8 MiB,121 MiB
2025-12-09 16:20:15,449 MiB,1.17 GiB,12.3 MiB,15.5 MiB,16.8 MiB,121 MiB
2025-12-09 16:20:30,616 MiB,1.17 GiB,12.3 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:20:45,118 MiB,1.17 GiB,15.4 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:21:00,287 MiB,1.17 GiB,15.4 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:21:15,453 MiB,1.17 GiB,15.4 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:21:30,620 MiB,1.17 GiB,15.4 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:21:45,84 MiB,1.16 GiB,21.3 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:22:00,123 MiB,1.16 GiB,21.3 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:22:15,208 MiB,1.16 GiB,21.3 MiB,17.4 MiB,16.8 MiB,121 MiB
2025-12-09 16:22:30,288 MiB,1.16 GiB,21.3 MiB,15.7 MiB,16.8 MiB,121 MiB
2025-12-09 16:22:45,350 MiB,1.16 GiB,21.3 MiB,15.7 MiB,16.8 MiB,121 MiB
2025-12-09 16:23:00,515 MiB,1.16 GiB,21.3 MiB,15.7 MiB,16.8 MiB,121 MiB
2025-12-09 16:23:15,669 MiB,1.16 GiB,21.3 MiB,15.8 MiB,16.8 MiB,121 MiB
2025-12-09 16:23:30,148 MiB,1.16 GiB,27.5 MiB,15.5 MiB,16.8 MiB,121 MiB
2025-12-09 16:23:45,317 MiB,1.16 GiB,27.5 MiB,15.5 MiB,16.8 MiB,121 MiB
2025-12-09 16:24:00,485 MiB,1.16 GiB,27.5 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:24:15,653 MiB,1.16 GiB,27.5 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:24:30,146 MiB,1.16 GiB,29.0 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:24:45,315 MiB,1.16 GiB,29.0 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:25:00,469 MiB,1.16 GiB,29.0 MiB,15.6 MiB,16.8 MiB,121 MiB
2025-12-09 16:25:15,567 MiB,1.16 GiB,29.0 MiB,15.7 MiB,16.8 MiB,121 MiB
2025-12-09 16:25:30,662 MiB,1.16 GiB,29.0 MiB,16.9 MiB,16.8 MiB,121 MiB
2025-12-09 16:25:45,147 MiB,1.16 GiB,35 MiB,15.8 MiB,16.8 MiB,121 MiB
2025-12-09 16:26:00,310 MiB,1.16 GiB,35 MiB,15.8 MiB,16.8 MiB,121 MiB
2025-12-09 16:26:15,471 MiB,1.16 GiB,35 MiB,15.8 MiB,16.8 MiB,121 MiB
2025-12-09 16:26:30,640 MiB,1.16 GiB,35 MiB,15.9 MiB,16.8 MiB,121 MiB
2025-12-09 16:26:45,124 MiB,1.16 GiB,42 MiB,15.9 MiB,16.8 MiB,121 MiB
2025-12-09 16:27:00,291 MiB,1.16 GiB,42 MiB,17.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:27:15,446 MiB,1.16 GiB,42 MiB,16.0 MiB,16.8 MiB,121 MiB
2025-12-09 16:27:30,595 MiB,1.16 GiB,42 MiB,16.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:27:45,77 MiB,1.16 GiB,42 MiB,16.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:28:00,91 MiB,1.16 GiB,42 MiB,16.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:28:15,174 MiB,1.16 GiB,42 MiB,16.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:28:30,331 MiB,1.16 GiB,42 MiB,16.1 MiB,16.8 MiB,121 MiB
2025-12-09 16:28:45,489 MiB,1.16 GiB,42 MiB,16.2 MiB,16.8 MiB,121 MiB
2025-12-09 16:29:00,646 MiB,1.16 GiB,42 MiB,16.2 MiB,16.8 MiB,121 MiB
2025-12-09 16:29:15,119 MiB,1.14 GiB,47 MiB,16.3 MiB,16.8 MiB,121 MiB
