"Time","200","403","503"
2025-12-09 16:05:00,0.0667 req/s,0.0445 req/s,0.0445 req/s
2025-12-09 16:05:15,0.0667 req/s,0 req/s,0 req/s
2025-12-09 16:05:30,0.0667 req/s,0 req/s,0 req/s
2025-12-09 16:05:45,0.224 req/s,0 req/s,0 req/s
2025-12-09 16:06:00,0.441 req/s,0 req/s,0 req/s
2025-12-09 16:06:15,0.636 req/s,0 req/s,0 req/s
2025-12-09 16:06:30,0.822 req/s,0 req/s,0 req/s
2025-12-09 16:06:45,0.911 req/s,0 req/s,0 req/s
2025-12-09 16:07:00,1.11 req/s,0 req/s,0 req/s
2025-12-09 16:07:15,1.33 req/s,0 req/s,0 req/s
2025-12-09 16:07:30,1.60 req/s,0 req/s,0 req/s
2025-12-09 16:07:45,1.71 req/s,0 req/s,0 req/s
2025-12-09 16:08:00,1.89 req/s,0 req/s,0 req/s
2025-12-09 16:08:15,1.96 req/s,0 req/s,0 req/s
2025-12-09 16:08:30,2.07 req/s,0 req/s,0 req/s
2025-12-09 16:08:45,2.04 req/s,0 req/s,0 req/s
2025-12-09 16:09:00,1.96 req/s,0 req/s,0 req/s
2025-12-09 16:09:15,1.91 req/s,0 req/s,0 req/s
2025-12-09 16:09:30,2.02 req/s,0 req/s,0 req/s
2025-12-09 16:09:45,2.11 req/s,0 req/s,0 req/s
2025-12-09 16:10:00,2.24 req/s,0 req/s,0 req/s
2025-12-09 16:10:15,2.16 req/s,0 req/s,0 req/s
2025-12-09 16:10:30,2.11 req/s,0 req/s,0 req/s
2025-12-09 16:10:45,2.20 req/s,0 req/s,0 req/s
2025-12-09 16:11:00,2.89 req/s,0 req/s,0 req/s
2025-12-09 16:11:15,3.58 req/s,0 req/s,0 req/s
2025-12-09 16:11:30,4.07 req/s,0 req/s,0 req/s
2025-12-09 16:11:45,3.98 req/s,0 req/s,0 req/s
2025-12-09 16:12:00,3.80 req/s,0 req/s,0 req/s
2025-12-09 16:12:15,3.53 req/s,0 req/s,0 req/s
2025-12-09 16:12:30,3.42 req/s,0 req/s,0 req/s
2025-12-09 16:12:45,3.56 req/s,0 req/s,0 req/s
2025-12-09 16:13:00,3.62 req/s,0 req/s,0 req/s
2025-12-09 16:13:15,2.87 req/s,0 req/s,0 req/s
2025-12-09 16:13:30,2.36 req/s,0 req/s,0 req/s
2025-12-09 16:13:45,2.67 req/s,0 req/s,0 req/s
2025-12-09 16:14:00,3.42 req/s,0 req/s,0 req/s
2025-12-09 16:14:15,4.20 req/s,0 req/s,0 req/s
2025-12-09 16:14:30,4.18 req/s,0 req/s,0 req/s
2025-12-09 16:14:45,4.82 req/s,0 req/s,0 req/s
2025-12-09 16:15:00,5.36 req/s,0 req/s,0 req/s
2025-12-09 16:15:15,5.53 req/s,0 req/s,0 req/s
2025-12-09 16:15:30,5.00 req/s,0 req/s,0 req/s
2025-12-09 16:15:45,3.51 req/s,0 req/s,0 req/s
2025-12-09 16:16:00,3.38 req/s,0 req/s,0 req/s
2025-12-09 16:16:15,3.16 req/s,0 req/s,0 req/s
2025-12-09 16:16:30,3.45 req/s,0 req/s,0 req/s
2025-12-09 16:16:45,3.40 req/s,0 req/s,0 req/s
